[safe_cuda] capped CUDA at 85% of 129 GB unified pool (~109 GB); over-allocation now errors cleanly.
[20:04:00] ARM arch=faithful schedule=cosine optimizer=adamw zloss=0.0 | vr=False ln=True hg=False | steps=2000 seed=1 tok/step=65,536
[20:04:00] optimizer split: 197 / 113 param tensors
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
[20:04:03]   loaded cached tokens from tokcache_133072000_300000_seed0_Qwen3-0.6B-Base.pt (133,072,000 train + 300,000 val)
[20:04:03] Compiling model...
[21:21:40] step   490/2000  ce 4.9405  lr 1.56e-03  |grad| 0.33  mem 57.4GB  tok/s 6,897
[21:23:15] step   500/2000  ce 4.9269  lr 1.55e-03  |grad| 0.30  mem 57.4GB  tok/s 6,897
[21:23:26]   [eval @ 500] val PPL=121.28
[21:23:30]   [ckpt @ 500] -> checkpoint_ln_seed1.pt
[21:25:04] step   510/2000  ce 4.7625  lr 1.55e-03  |grad| 0.29  mem 57.4GB  tok/s 6,877
[21:26:39] step   520/2000  ce 4.7234  lr 1.54e-03  |grad| 0.27  mem 57.4GB  tok/s 6,878
[21:28:14] step   530/2000  ce 5.0194  lr 1.53e-03  |grad| 0.28  mem 57.4GB  tok/s 6,878
[21:29:49] step   540/2000  ce 4.5874  lr 1.53e-03  |grad| 0.26  mem 57.4GB  tok/s 6,879
[21:31:24] step   550/2000  ce 4.8238  lr 1.52e-03  |grad| 0.29  mem 57.4GB  tok/s 6,879
[21:32:58] step   560/2000  ce 4.5096  lr 1.51e-03  |grad| 0.30  mem 57.4GB  tok/s 6,880
[21:34:33] step   570/2000  ce 4.7324  lr 1.50e-03  |grad| 0.29  mem 57.4GB  tok/s 6,881
[21:36:08] step   580/2000  ce 4.4272  lr 1.49e-03  |grad| 0.27  mem 57.4GB  tok/s 6,881
[21:37:43] step   590/2000  ce 4.5205  lr 1.49e-03  |grad| 0.27  mem 57.4GB  tok/s 6,882
[21:39:18] step   600/2000  ce 4.9111  lr 1.48e-03  |grad| 0.25  mem 57.4GB  tok/s 6,882
[21:40:53] step   610/2000  ce 4.2782  lr 1.47e-03  |grad| 0.26  mem 57.4GB  tok/s 6,883
[21:42:27] step   620/2000  ce 4.6335  lr 1.46e-03  |grad| 0.25  mem 57.4GB  tok/s 6,883
[21:44:02] step   630/2000  ce 4.1916  lr 1.45e-03  |grad| 0.25  mem 57.4GB  tok/s 6,884
[21:45:37] step   640/2000  ce 4.5016  lr 1.44e-03  |grad| 0.25  mem 57.4GB  tok/s 6,884
[21:47:12] step   650/2000  ce 4.4126  lr 1.43e-03  |grad| 0.23  mem 57.4GB  tok/s 6,884
[21:48:47] step   660/2000  ce 4.4795  lr 1.42e-03  |grad| 0.27  mem 57.4GB  tok/s 6,885
[21:50:22] step   670/2000  ce 4.5388  lr 1.42e-03  |grad| 0.23  mem 57.4GB  tok/s 6,885
[21:51:57] step   680/2000  ce 4.7067  lr 1.41e-03  |grad| 0.26  mem 57.4GB  tok/s 6,885
[21:53:31] step   690/2000  ce 4.6937  lr 1.40e-03  |grad| 0.26  mem 57.4GB  tok/s 6,886
[21:55:06] step   700/2000  ce 4.1099  lr 1.39e-03  |grad| 0.25  mem 57.4GB  tok/s 6,886
[21:56:41] step   710/2000  ce 4.5898  lr 1.38e-03  |grad| 0.22  mem 57.4GB  tok/s 6,886
[21:58:16] step   720/2000  ce 4.4830  lr 1.37e-03  |grad| 0.23  mem 57.4GB  tok/s 6,887
[21:59:51] step   730/2000  ce 4.2885  lr 1.36e-03  |grad| 0.26  mem 57.4GB  tok/s 6,887
[22:01:26] step   740/2000  ce 4.4305  lr 1.35e-03  |grad| 0.21  mem 57.4GB  tok/s 6,887
[22:03:01] step   750/2000  ce 4.2627  lr 1.34e-03  |grad| 0.25  mem 57.4GB  tok/s 6,887
[22:03:04]   [ckpt @ 750] -> checkpoint_ln_seed1.pt
[22:04:39] step   760/2000  ce 4.3397  lr 1.33e-03  |grad| 0.22  mem 57.4GB  tok/s 6,884
[22:06:14] step   770/2000  ce 4.1821  lr 1.32e-03  |grad| 0.21  mem 57.4GB  tok/s 6,885
[22:07:49] step   780/2000  ce 4.2651  lr 1.31e-03  |grad| 0.22  mem 57.4GB  tok/s 6,885
[22:09:24] step   790/2000  ce 4.4107  lr 1.30e-03  |grad| 0.22  mem 57.4GB  tok/s 6,885
[22:10:59] step   800/2000  ce 4.4226  lr 1.29e-03  |grad| 0.23  mem 57.4GB  tok/s 6,885
[22:12:34] step   810/2000  ce 4.5082  lr 1.28e-03  |grad| 0.22  mem 57.4GB  tok/s 6,886
[22:14:08] step   820/2000  ce 4.1299  lr 1.27e-03  |grad| 0.24  mem 57.4GB  tok/s 6,886
[22:15:43] step   830/2000  ce 4.4550  lr 1.26e-03  |grad| 0.24  mem 57.4GB  tok/s 6,886
[22:17:18] step   840/2000  ce 3.8366  lr 1.24e-03  |grad| 0.24  mem 57.4GB  tok/s 6,887
[22:18:53] step   850/2000  ce 4.3090  lr 1.23e-03  |grad| 0.22  mem 57.4GB  tok/s 6,887
[22:20:28] step   860/2000  ce 4.3847  lr 1.22e-03  |grad| 0.21  mem 57.4GB  tok/s 6,887
[22:22:03] step   870/2000  ce 4.1337  lr 1.21e-03  |grad| 0.23  mem 57.4GB  tok/s 6,887
[22:23:37] step   880/2000  ce 3.8639  lr 1.20e-03  |grad| 0.21  mem 57.4GB  tok/s 6,888
[22:25:12] step   890/2000  ce 4.2015  lr 1.19e-03  |grad| 0.22  mem 57.4GB  tok/s 6,888
[22:26:47] step   900/2000  ce 4.0913  lr 1.18e-03  |grad| 0.23  mem 57.4GB  tok/s 6,888
[22:28:22] step   910/2000  ce 4.1048  lr 1.17e-03  |grad| 0.22  mem 57.4GB  tok/s 6,888
[22:29:57] step   920/2000  ce 4.1493  lr 1.16e-03  |grad| 0.22  mem 57.4GB  tok/s 6,889
[22:31:32] step   930/2000  ce 4.3790  lr 1.15e-03  |grad| 0.21  mem 57.4GB  tok/s 6,889
[22:33:06] step   940/2000  ce 3.6143  lr 1.13e-03  |grad| 0.23  mem 57.4GB  tok/s 6,889
[22:34:41] step   950/2000  ce 4.1981  lr 1.12e-03  |grad| 0.21  mem 57.4GB  tok/s 6,889
[22:36:16] step   960/2000  ce 3.9359  lr 1.11e-03  |grad| 0.22  mem 57.4GB  tok/s 6,890
[22:37:51] step   970/2000  ce 4.0410  lr 1.10e-03  |grad| 0.24  mem 57.4GB  tok/s 6,890
[22:39:26] step   980/2000  ce 4.1879  lr 1.09e-03  |grad| 0.22  mem 57.4GB  tok/s 6,890
[22:41:01] step   990/2000  ce 4.2023  lr 1.08e-03  |grad| 0.24  mem 57.4GB  tok/s 6,890
[22:42:35] step  1000/2000  ce 4.0158  lr 1.07e-03  |grad| 0.22  mem 57.4GB  tok/s 6,891
[22:42:44]   [eval @ 1000] val PPL=63.54
[22:42:48]   [ckpt @ 1000] -> checkpoint_ln_seed1.pt
[22:44:23] step  1010/2000  ce 4.0510  lr 1.06e-03  |grad| 0.22  mem 57.4GB  tok/s 6,882
[22:45:58] step  1020/2000  ce 4.1980  lr 1.04e-03  |grad| 0.20  mem 57.4GB  tok/s 6,882
[22:47:32] step  1030/2000  ce 4.1846  lr 1.03e-03  |grad| 0.20  mem 57.4GB  tok/s 6,882
[22:49:07] step  1040/2000  ce 3.8839  lr 1.02e-03  |grad| 0.21  mem 57.4GB  tok/s 6,883
[22:50:42] step  1050/2000  ce 4.0240  lr 1.01e-03  |grad| 0.21  mem 57.4GB  tok/s 6,883
[22:52:17] step  1060/2000  ce 4.0892  lr 9.99e-04  |grad| 0.22  mem 57.4GB  tok/s 6,883
[22:53:51] step  1070/2000  ce 4.4801  lr 9.87e-04  |grad| 0.20  mem 57.4GB  tok/s 6,884
[22:55:26] step  1080/2000  ce 4.0968  lr 9.76e-04  |grad| 0.21  mem 57.4GB  tok/s 6,884
[22:57:01] step  1090/2000  ce 3.9367  lr 9.64e-04  |grad| 0.20  mem 57.4GB  tok/s 6,884
[22:58:36] step  1100/2000  ce 4.1058  lr 9.53e-04  |grad| 0.21  mem 57.4GB  tok/s 6,884
[23:00:11] step  1110/2000  ce 4.0875  lr 9.42e-04  |grad| 0.20  mem 57.4GB  tok/s 6,885
[23:01:45] step  1120/2000  ce 4.1507  lr 9.30e-04  |grad| 0.19  mem 57.4GB  tok/s 6,885
[23:03:20] step  1130/2000  ce 4.1181  lr 9.19e-04  |grad| 0.21  mem 57.4GB  tok/s 6,885
[23:04:55] step  1140/2000  ce 3.8397  lr 9.08e-04  |grad| 0.20  mem 57.4GB  tok/s 6,885
[23:06:30] step  1150/2000  ce 4.3179  lr 8.96e-04  |grad| 0.20  mem 57.4GB  tok/s 6,886
[23:08:05] step  1160/2000  ce 3.8792  lr 8.85e-04  |grad| 0.19  mem 57.4GB  tok/s 6,886
[23:09:39] step  1170/2000  ce 3.8840  lr 8.74e-04  |grad| 0.19  mem 57.4GB  tok/s 6,886
[23:11:14] step  1180/2000  ce 4.1247  lr 8.63e-04  |grad| 0.18  mem 57.4GB  tok/s 6,886
[23:12:49] step  1190/2000  ce 4.0058  lr 8.52e-04  |grad| 0.19  mem 57.4GB  tok/s 6,886
[23:14:24] step  1200/2000  ce 4.0882  lr 8.41e-04  |grad| 0.19  mem 57.4GB  tok/s 6,887
[23:15:59] step  1210/2000  ce 4.0824  lr 8.30e-04  |grad| 0.18  mem 57.4GB  tok/s 6,887
[23:17:34] step  1220/2000  ce 3.9260  lr 8.19e-04  |grad| 0.19  mem 57.4GB  tok/s 6,887
[23:19:08] step  1230/2000  ce 4.1074  lr 8.08e-04  |grad| 0.18  mem 57.4GB  tok/s 6,887
[23:20:43] step  1240/2000  ce 3.7207  lr 7.97e-04  |grad| 0.18  mem 57.4GB  tok/s 6,887
[23:22:18] step  1250/2000  ce 4.0648  lr 7.86e-04  |grad| 0.23  mem 57.4GB  tok/s 6,887
[23:22:22]   [ckpt @ 1250] -> checkpoint_ln_seed1.pt
[23:23:57] step  1260/2000  ce 3.9204  lr 7.75e-04  |grad| 0.19  mem 57.4GB  tok/s 6,886
[23:25:31] step  1270/2000  ce 3.8237  lr 7.65e-04  |grad| 0.19  mem 57.4GB  tok/s 6,886
[23:27:06] step  1280/2000  ce 4.1227  lr 7.54e-04  |grad| 0.20  mem 57.4GB  tok/s 6,886
[23:28:41] step  1290/2000  ce 3.9950  lr 7.43e-04  |grad| 0.21  mem 57.4GB  tok/s 6,886
[23:30:16] step  1300/2000  ce 4.0152  lr 7.33e-04  |grad| 0.18  mem 57.4GB  tok/s 6,887
[23:31:51] step  1310/2000  ce 4.0838  lr 7.22e-04  |grad| 0.20  mem 57.4GB  tok/s 6,887
[23:33:25] step  1320/2000  ce 4.0805  lr 7.12e-04  |grad| 0.19  mem 57.4GB  tok/s 6,887
