[03:47:10] ARM arch=faithful schedule=cosine optimizer=adamw zloss=0.0 | vr=True ln=False hg=False | steps=2000 seed=1 tok/step=65,536
[05:08:36]   [ckpt @ 500] -> checkpoint_vr_seed1.pt
[05:10:13] step   510/2000  ce 4.9394  lr 1.55e-03  |grad| 0.30  mem 59.2GB  tok/s 6,713
[05:11:50] step   520/2000  ce 4.9348  lr 1.54e-03  |grad| 0.34  mem 59.2GB  tok/s 6,714
[05:13:28] step   530/2000  ce 5.1906  lr 1.53e-03  |grad| 0.32  mem 59.2GB  tok/s 6,714
[05:15:05] step   540/2000  ce 4.7570  lr 1.53e-03  |grad| 0.31  mem 59.2GB  tok/s 6,715
[05:16:42] step   550/2000  ce 5.0128  lr 1.52e-03  |grad| 0.32  mem 59.2GB  tok/s 6,715
[05:18:19] step   560/2000  ce 4.7060  lr 1.51e-03  |grad| 0.38  mem 59.2GB  tok/s 6,716
[05:19:56] step   570/2000  ce 4.8860  lr 1.50e-03  |grad| 0.28  mem 59.2GB  tok/s 6,716
[05:21:34] step   580/2000  ce 4.5971  lr 1.49e-03  |grad| 0.23  mem 59.2GB  tok/s 6,717
[05:23:11] step   590/2000  ce 4.6651  lr 1.49e-03  |grad| 0.27  mem 59.2GB  tok/s 6,717
[05:24:48] step   600/2000  ce 5.0705  lr 1.48e-03  |grad| 0.31  mem 59.2GB  tok/s 6,718
[05:26:25] step   610/2000  ce 4.4516  lr 1.47e-03  |grad| 0.30  mem 59.2GB  tok/s 6,718
[05:28:02] step   620/2000  ce 4.7747  lr 1.46e-03  |grad| 0.25  mem 59.2GB  tok/s 6,718
[05:29:40] step   630/2000  ce 4.3153  lr 1.45e-03  |grad| 0.26  mem 59.2GB  tok/s 6,719
[05:31:17] step   640/2000  ce 4.6523  lr 1.44e-03  |grad| 0.30  mem 59.2GB  tok/s 6,719
[05:32:54] step   650/2000  ce 4.5335  lr 1.43e-03  |grad| 0.27  mem 59.2GB  tok/s 6,720
[05:34:31] step   660/2000  ce 4.6155  lr 1.42e-03  |grad| 0.25  mem 59.2GB  tok/s 6,720
[05:36:08] step   670/2000  ce 4.6616  lr 1.42e-03  |grad| 0.30  mem 59.2GB  tok/s 6,720
[05:37:45] step   680/2000  ce 4.8276  lr 1.41e-03  |grad| 0.25  mem 59.2GB  tok/s 6,721
[05:39:23] step   690/2000  ce 4.7821  lr 1.40e-03  |grad| 0.25  mem 59.2GB  tok/s 6,721
[05:41:00] step   700/2000  ce 4.2235  lr 1.39e-03  |grad| 0.29  mem 59.2GB  tok/s 6,721
