[safe_cuda] capped CUDA at 85% of 129 GB unified pool (~109 GB); over-allocation now errors cleanly.
[09:15:14] ARM arch=faithful schedule=cosine optimizer=adamw zloss=0.0 | vr=True ln=False hg=False | steps=2000 seed=2 tok/step=65,536
[09:15:15] optimizer split: 197 / 197 param tensors
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
[09:15:18]   loaded cached tokens from tokcache_133072000_300000_seed0_Qwen3-0.6B-Base.pt (133,072,000 train + 300,000 val)
[09:15:18] Compiling model...
[10:34:55] step   490/2000  ce 4.9342  lr 1.56e-03  |grad| 0.29  mem 59.2GB  tok/s 6,723
[10:36:33] step   500/2000  ce 4.9236  lr 1.55e-03  |grad| 0.30  mem 59.2GB  tok/s 6,722
[10:36:44]   [eval @ 500] val PPL=155.26
[10:36:47]   [ckpt @ 500] -> checkpoint_vr_seed2.pt
[10:38:25] step   510/2000  ce 5.0371  lr 1.55e-03  |grad| 0.29  mem 59.2GB  tok/s 6,702
[10:40:02] step   520/2000  ce 5.0728  lr 1.54e-03  |grad| 0.41  mem 59.2GB  tok/s 6,703
[10:41:39] step   530/2000  ce 4.8963  lr 1.53e-03  |grad| 0.31  mem 59.2GB  tok/s 6,704
[10:43:17] step   540/2000  ce 4.9048  lr 1.53e-03  |grad| 0.31  mem 59.2GB  tok/s 6,704
[10:44:54] step   550/2000  ce 5.0096  lr 1.52e-03  |grad| 0.32  mem 59.2GB  tok/s 6,705
[10:46:31] step   560/2000  ce 4.9747  lr 1.51e-03  |grad| 0.33  mem 59.2GB  tok/s 6,706
[10:48:08] step   570/2000  ce 4.9895  lr 1.50e-03  |grad| 0.30  mem 59.2GB  tok/s 6,706
[10:49:46] step   580/2000  ce 4.8201  lr 1.49e-03  |grad| 0.26  mem 59.2GB  tok/s 6,707
[10:51:23] step   590/2000  ce 4.5278  lr 1.49e-03  |grad| 0.27  mem 59.2GB  tok/s 6,708
[10:53:00] step   600/2000  ce 4.7692  lr 1.48e-03  |grad| 0.33  mem 59.2GB  tok/s 6,708
