[12:13:30] ARM arch=faithful schedule=cosine optimizer=adamw zloss=0.0 | vr=False ln=False hg=True | steps=2000 seed=1 tok/step=65,536
[13:36:56]   [ckpt @ 500] -> checkpoint_hg_seed1.pt
[13:38:36] step   510/2000  ce 5.0728  lr 1.55e-03  |grad| 0.27  mem 59.3GB  tok/s 6,553
[13:40:16] step   520/2000  ce 4.7905  lr 1.54e-03  |grad| 0.32  mem 59.3GB  tok/s 6,552
[13:41:56] step   530/2000  ce 4.7210  lr 1.53e-03  |grad| 0.29  mem 59.3GB  tok/s 6,552
[13:43:36] step   540/2000  ce 4.8266  lr 1.53e-03  |grad| 0.34  mem 59.3GB  tok/s 6,553
[13:45:16] step   550/2000  ce 4.8498  lr 1.52e-03  |grad| 0.28  mem 59.3GB  tok/s 6,553
[13:46:56] step   560/2000  ce 4.7303  lr 1.51e-03  |grad| 0.27  mem 59.3GB  tok/s 6,552
[13:48:36] step   570/2000  ce 4.9945  lr 1.50e-03  |grad| 0.32  mem 59.3GB  tok/s 6,552
[13:50:16] step   580/2000  ce 5.0066  lr 1.49e-03  |grad| 0.31  mem 59.3GB  tok/s 6,552
[13:51:56] step   590/2000  ce 4.7631  lr 1.49e-03  |grad| 0.30  mem 59.3GB  tok/s 6,552
[13:53:37] step   600/2000  ce 4.7064  lr 1.48e-03  |grad| 0.30  mem 59.3GB  tok/s 6,551
[13:55:17] step   610/2000  ce 4.6975  lr 1.47e-03  |grad| 0.28  mem 59.3GB  tok/s 6,551
[13:56:57] step   620/2000  ce 4.7409  lr 1.46e-03  |grad| 0.27  mem 59.3GB  tok/s 6,551
[13:58:38] step   630/2000  ce 4.5273  lr 1.45e-03  |grad| 0.27  mem 59.3GB  tok/s 6,550
[14:00:18] step   640/2000  ce 4.5230  lr 1.44e-03  |grad| 0.25  mem 59.3GB  tok/s 6,550
[14:01:59] step   650/2000  ce 4.6793  lr 1.43e-03  |grad| 0.27  mem 59.3GB  tok/s 6,549
[14:03:40] step   660/2000  ce 4.6788  lr 1.42e-03  |grad| 0.29  mem 59.3GB  tok/s 6,549
[14:05:20] step   670/2000  ce 4.5375  lr 1.42e-03  |grad| 0.27  mem 59.3GB  tok/s 6,548
[14:07:01] step   680/2000  ce 4.4682  lr 1.41e-03  |grad| 0.26  mem 59.3GB  tok/s 6,548
[14:08:41] step   690/2000  ce 4.2792  lr 1.40e-03  |grad| 0.27  mem 59.3GB  tok/s 6,548
[14:10:22] step   700/2000  ce 4.4577  lr 1.39e-03  |grad| 0.25  mem 59.3GB  tok/s 6,547
[14:12:03] step   710/2000  ce 4.4849  lr 1.38e-03  |grad| 0.25  mem 59.3GB  tok/s 6,546
[14:13:44] step   720/2000  ce 4.5734  lr 1.37e-03  |grad| 0.24  mem 59.3GB  tok/s 6,545
[14:15:25] step   730/2000  ce 4.7064  lr 1.36e-03  |grad| 0.29  mem 59.3GB  tok/s 6,545
[14:17:06] step   740/2000  ce 4.5246  lr 1.35e-03  |grad| 0.25  mem 59.3GB  tok/s 6,544
[14:18:47] step   750/2000  ce 4.4850  lr 1.34e-03  |grad| 0.25  mem 59.3GB  tok/s 6,543
[14:18:50]   [ckpt @ 750] -> checkpoint_hg_seed1.pt
[14:20:30] step   760/2000  ce 4.2213  lr 1.33e-03  |grad| 0.22  mem 59.3GB  tok/s 6,540
[14:22:11] step   770/2000  ce 4.5266  lr 1.32e-03  |grad| 0.25  mem 59.3GB  tok/s 6,540
[14:23:52] step   780/2000  ce 4.3535  lr 1.31e-03  |grad| 0.27  mem 59.3GB  tok/s 6,539
[14:25:33] step   790/2000  ce 4.5188  lr 1.30e-03  |grad| 0.23  mem 59.3GB  tok/s 6,539
[14:27:14] step   800/2000  ce 4.5042  lr 1.29e-03  |grad| 0.25  mem 59.3GB  tok/s 6,538
[14:28:55] step   810/2000  ce 4.4212  lr 1.28e-03  |grad| 0.28  mem 59.3GB  tok/s 6,537
[14:30:36] step   820/2000  ce 4.3622  lr 1.27e-03  |grad| 0.24  mem 59.3GB  tok/s 6,536
[14:32:17] step   830/2000  ce 4.3642  lr 1.26e-03  |grad| 0.26  mem 59.3GB  tok/s 6,536
[14:33:58] step   840/2000  ce 4.4294  lr 1.24e-03  |grad| 0.24  mem 59.3GB  tok/s 6,535
[14:35:39] step   850/2000  ce 4.3384  lr 1.23e-03  |grad| 0.25  mem 59.3GB  tok/s 6,535
[14:37:20] step   860/2000  ce 4.0410  lr 1.22e-03  |grad| 0.32  mem 59.3GB  tok/s 6,535
[14:39:01] step   870/2000  ce 4.2559  lr 1.21e-03  |grad| 0.25  mem 59.3GB  tok/s 6,534
[14:40:42] step   880/2000  ce 4.2938  lr 1.20e-03  |grad| 0.22  mem 59.3GB  tok/s 6,534
[14:42:23] step   890/2000  ce 4.3134  lr 1.19e-03  |grad| 0.24  mem 59.3GB  tok/s 6,533
[14:44:04] step   900/2000  ce 4.2239  lr 1.18e-03  |grad| 0.23  mem 59.3GB  tok/s 6,533
[14:45:44] step   910/2000  ce 4.3562  lr 1.17e-03  |grad| 0.22  mem 59.3GB  tok/s 6,532
[14:47:25] step   920/2000  ce 4.5139  lr 1.16e-03  |grad| 0.25  mem 59.3GB  tok/s 6,532
[14:49:06] step   930/2000  ce 4.3719  lr 1.15e-03  |grad| 0.25  mem 59.3GB  tok/s 6,531
[14:50:47] step   940/2000  ce 4.1627  lr 1.13e-03  |grad| 0.23  mem 59.3GB  tok/s 6,531
[14:52:28] step   950/2000  ce 4.1465  lr 1.12e-03  |grad| 0.21  mem 59.3GB  tok/s 6,531
[14:54:09] step   960/2000  ce 4.3558  lr 1.11e-03  |grad| 0.23  mem 59.3GB  tok/s 6,530
[14:55:50] step   970/2000  ce 4.1948  lr 1.10e-03  |grad| 0.27  mem 59.3GB  tok/s 6,530
[14:57:31] step   980/2000  ce 4.5253  lr 1.09e-03  |grad| 0.23  mem 59.3GB  tok/s 6,529
[14:59:12] step   990/2000  ce 4.3580  lr 1.08e-03  |grad| 0.24  mem 59.3GB  tok/s 6,529
[15:00:54] step  1000/2000  ce 4.2116  lr 1.07e-03  |grad| 0.23  mem 59.3GB  tok/s 6,528
[15:01:03]   [eval @ 1000] val PPL=65.47
[15:01:10]   [ckpt @ 1000] -> checkpoint_hg_seed1.pt
[15:02:50] step  1010/2000  ce 4.1421  lr 1.06e-03  |grad| 0.21  mem 59.3GB  tok/s 6,518
[15:04:31] step  1020/2000  ce 4.0784  lr 1.04e-03  |grad| 0.22  mem 59.3GB  tok/s 6,517
[15:06:12] step  1030/2000  ce 4.1633  lr 1.03e-03  |grad| 0.22  mem 59.3GB  tok/s 6,517
[15:07:53] step  1040/2000  ce 4.4364  lr 1.02e-03  |grad| 0.26  mem 59.3GB  tok/s 6,517
[15:09:34] step  1050/2000  ce 3.9987  lr 1.01e-03  |grad| 0.21  mem 59.3GB  tok/s 6,517
[15:11:15] step  1060/2000  ce 4.1833  lr 9.99e-04  |grad| 0.21  mem 59.3GB  tok/s 6,516
[15:12:56] step  1070/2000  ce 4.1306  lr 9.87e-04  |grad| 0.24  mem 59.3GB  tok/s 6,516
[15:14:38] step  1080/2000  ce 4.1150  lr 9.76e-04  |grad| 0.22  mem 59.3GB  tok/s 6,516
[15:16:19] step  1090/2000  ce 4.3144  lr 9.64e-04  |grad| 0.20  mem 59.3GB  tok/s 6,515
[15:18:00] step  1100/2000  ce 4.0091  lr 9.53e-04  |grad| 0.21  mem 59.3GB  tok/s 6,515
[15:19:41] step  1110/2000  ce 4.1724  lr 9.42e-04  |grad| 0.20  mem 59.3GB  tok/s 6,515
[15:21:22] step  1120/2000  ce 4.1893  lr 9.30e-04  |grad| 0.20  mem 59.3GB  tok/s 6,515
[15:23:03] step  1130/2000  ce 3.8780  lr 9.19e-04  |grad| 0.21  mem 59.3GB  tok/s 6,514
[15:24:44] step  1140/2000  ce 4.2019  lr 9.08e-04  |grad| 0.20  mem 59.3GB  tok/s 6,514
[15:26:25] step  1150/2000  ce 4.1061  lr 8.96e-04  |grad| 0.20  mem 59.3GB  tok/s 6,514
[15:28:06] step  1160/2000  ce 4.1302  lr 8.85e-04  |grad| 0.21  mem 59.3GB  tok/s 6,514
[15:29:47] step  1170/2000  ce 4.1150  lr 8.74e-04  |grad| 0.23  mem 59.3GB  tok/s 6,514
[15:31:28] step  1180/2000  ce 4.2142  lr 8.63e-04  |grad| 0.19  mem 59.3GB  tok/s 6,513
[15:33:10] step  1190/2000  ce 4.1201  lr 8.52e-04  |grad| 0.21  mem 59.3GB  tok/s 6,513
[15:34:51] step  1200/2000  ce 4.0584  lr 8.41e-04  |grad| 0.21  mem 59.3GB  tok/s 6,512
[15:36:32] step  1210/2000  ce 4.0244  lr 8.30e-04  |grad| 0.21  mem 59.3GB  tok/s 6,512
