step,loss,lr,grad_norm,peak_mem_gb,tok_seen
1,12.076866149902344,2e-05,5.0625,50.008549888,65536
2,12.10586166381836,4e-05,5.375,52.392778752,131072
3,12.01916217803955,6e-05,4.90625,52.392778752,196608
4,11.611505508422852,8e-05,5.28125,52.392778752,262144
5,11.241935729980469,0.0001,4.6875,52.392778752,327680
6,10.929485321044922,0.00012,2.875,52.392778752,393216
7,10.582987785339355,0.00014000000000000001,2.46875,52.392778752,458752
8,10.535289764404297,0.00016,2.359375,52.392778752,524288
9,10.253654479980469,0.00017999999999999998,2.125,52.392778752,589824
10,10.084735870361328,0.0002,2.0625,52.392778752,655360
11,9.91926097869873,0.00022,2.125,52.392778752,720896
12,9.76003646850586,0.00024,2.0,52.392778752,786432
13,9.471378326416016,0.00026000000000000003,1.8515625,52.392778752,851968
14,9.31982135772705,0.00028000000000000003,1.75,52.392778752,917504
15,9.072507858276367,0.00030000000000000003,1.5234375,52.392778752,983040
16,8.929801940917969,0.00032,1.3671875,52.392778752,1048576
17,8.656749725341797,0.00033999999999999997,1.28125,52.392778752,1114112
18,8.428236961364746,0.00035999999999999997,1.0859375,52.392778752,1179648
19,8.271845817565918,0.00038,1.015625,52.392778752,1245184
20,8.173897743225098,0.0004,0.80078125,52.392778752,1310720
21,8.071314811706543,0.00042000000000000007,0.8125,52.392778752,1376256
22,7.959804534912109,0.00044,0.6171875,52.392778752,1441792
23,7.686487197875977,0.00045999999999999996,0.6953125,52.392778752,1507328
24,7.735692501068115,0.00048,0.7265625,52.392778752,1572864
25,7.754384994506836,0.0005,0.80859375,52.392778752,1638400
26,7.892523288726807,0.0005200000000000001,0.8203125,52.392778752,1703936
27,7.770511627197266,0.00054,0.71875,52.392778752,1769472
28,7.925402641296387,0.0005600000000000001,1.109375,52.392778752,1835008
29,7.84645938873291,0.00058,0.9296875,52.392778752,1900544
30,7.764340400695801,0.0006000000000000001,0.9453125,52.392778752,1966080
31,7.820148944854736,0.00062,0.8671875,52.392778752,2031616
32,7.636255264282227,0.00064,0.62109375,52.392778752,2097152
33,7.706179618835449,0.00066,1.03125,52.392778752,2162688
34,7.822222709655762,0.0006799999999999999,0.578125,52.392778752,2228224
35,7.799025535583496,0.0007,0.85546875,52.392778752,2293760
36,8.031058311462402,0.0007199999999999999,0.82421875,52.392778752,2359296
37,7.8019890785217285,0.00074,0.67578125,52.392778752,2424832
38,7.783236980438232,0.00076,1.0078125,52.392778752,2490368
39,7.633684158325195,0.0007800000000000001,0.50390625,52.392778752,2555904
40,7.82457160949707,0.0008,0.74609375,52.392778752,2621440
41,8.10208797454834,0.00082,0.6015625,52.392778752,2686976
42,7.770627975463867,0.0008400000000000001,0.8515625,52.392778752,2752512
43,7.75437068939209,0.0008600000000000001,0.59765625,52.392778752,2818048
44,7.7637481689453125,0.00088,0.87890625,52.392778752,2883584
45,7.658426284790039,0.0009,0.55859375,52.392778752,2949120
46,7.711179733276367,0.0009199999999999999,0.62109375,52.392778752,3014656
47,7.582352638244629,0.0009400000000000001,0.61328125,52.392778752,3080192
48,7.553448677062988,0.00096,1.3828125,52.392778752,3145728
49,7.643185615539551,0.00098,0.484375,52.392778752,3211264
50,7.787959575653076,0.001,1.09375,52.392778752,3276800
51,7.493058204650879,0.00102,0.890625,52.392778752,3342336
52,7.690619468688965,0.0010400000000000001,1.0390625,52.392778752,3407872
53,7.682001113891602,0.00106,2.1875,52.392778752,3473408
54,7.576804161071777,0.00108,1.2734375,52.392778752,3538944
55,7.765480995178223,0.0010999999999999998,0.83984375,52.392778752,3604480
56,7.467235565185547,0.0011200000000000001,0.93359375,52.392778752,3670016
57,7.574373245239258,0.00114,0.765625,52.392778752,3735552
58,7.422028541564941,0.00116,0.76953125,52.392778752,3801088
59,7.3940887451171875,0.00118,0.96484375,52.392778752,3866624
60,7.641411781311035,0.0012000000000000001,1.0,52.392778752,3932160
61,7.494704723358154,0.00122,0.78125,52.392778752,3997696
62,7.3193817138671875,0.00124,0.890625,52.392778752,4063232
63,7.7888946533203125,0.00126,0.69921875,52.392778752,4128768
64,7.394736289978027,0.00128,0.9296875,52.392778752,4194304
65,7.47508430480957,0.0013000000000000002,0.91015625,52.392778752,4259840
66,7.525151252746582,0.00132,0.60546875,52.392778752,4325376
67,7.357552528381348,0.00134,1.0,52.392778752,4390912
68,7.431501865386963,0.0013599999999999999,0.59375,52.392778752,4456448
69,7.323713302612305,0.0013800000000000002,1.0,52.392778752,4521984
70,7.178934097290039,0.0014,0.640625,52.392778752,4587520
71,7.293670654296875,0.00142,1.0703125,52.392778752,4653056
72,7.270573616027832,0.0014399999999999999,0.8203125,52.392778752,4718592
73,7.061440467834473,0.0014600000000000001,0.6953125,52.392778752,4784128
74,7.01212215423584,0.00148,1.25,52.392778752,4849664
75,7.259188652038574,0.0015,0.73828125,52.392778752,4915200
76,7.278076171875,0.00152,0.8671875,52.392778752,4980736
77,7.557768821716309,0.00154,1.359375,52.392778752,5046272
78,7.256777763366699,0.0015600000000000002,0.69140625,52.392778752,5111808
79,7.22613525390625,0.0015799999999999998,1.1640625,52.392778752,5177344
80,7.120301723480225,0.0016,1.640625,52.392778752,5242880
81,7.241428852081299,0.0016200000000000001,1.125,52.392778752,5308416
82,7.077902793884277,0.00164,0.875,52.392778752,5373952
83,7.156486511230469,0.00166,1.1640625,52.392778752,5439488
84,7.133428573608398,0.0016800000000000003,0.77734375,52.392778752,5505024
85,7.097738265991211,0.0017,1.140625,52.392778752,5570560
86,7.0976080894470215,0.0017200000000000002,1.03125,52.392778752,5636096
87,6.9490251541137695,0.00174,0.5390625,52.392778752,5701632
88,7.011870384216309,0.00176,0.9921875,52.392778752,5767168
89,6.953046798706055,0.0017800000000000001,0.8359375,52.392778752,5832704
90,7.074645042419434,0.0018,0.70703125,52.392778752,5898240
91,7.029152870178223,0.00182,0.52734375,52.392778752,5963776
92,7.064791679382324,0.0018399999999999998,0.546875,52.392778752,6029312
93,7.241382598876953,0.00186,0.51953125,52.392778752,6094848
94,6.979976654052734,0.0018800000000000002,0.51953125,52.392778752,6160384
95,6.987787246704102,0.0019,0.486328125,52.392778752,6225920
96,6.975984573364258,0.00192,0.90625,52.392778752,6291456
97,6.973554611206055,0.0019399999999999999,1.015625,52.392778752,6356992
98,6.8389434814453125,0.00196,0.640625,52.392778752,6422528
99,6.966424942016602,0.00198,0.71875,52.392778752,6488064
100,7.139904499053955,0.002,0.5546875,52.392778752,6553600
101,7.025323390960693,0.00202,0.859375,52.392778752,6619136
102,6.745649337768555,0.00204,0.61328125,52.392778752,6684672
103,6.963481903076172,0.00206,0.77734375,52.392778752,6750208
104,6.992034912109375,0.0020800000000000003,0.6796875,52.392778752,6815744
105,6.945190906524658,0.0021,0.6171875,52.392778752,6881280
106,6.7552337646484375,0.00212,0.79296875,52.392778752,6946816
107,6.848830699920654,0.00214,0.69921875,52.392778752,7012352
108,6.736345291137695,0.00216,0.66796875,52.392778752,7077888
109,6.897057056427002,0.00218,0.6171875,52.392778752,7143424
110,6.907879829406738,0.0021999999999999997,0.546875,52.392778752,7208960
111,6.858692169189453,0.00222,0.50390625,52.392778752,7274496
112,6.870080947875977,0.0022400000000000002,0.64453125,52.392778752,7340032
113,7.024407386779785,0.00226,0.64453125,52.392778752,7405568
114,6.782203674316406,0.00228,0.640625,52.392778752,7471104
115,6.864129066467285,0.0023000000000000004,0.90234375,52.392778752,7536640
116,6.915777206420898,0.00232,0.5390625,52.392778752,7602176
117,6.919530391693115,0.00234,0.7734375,52.392778752,7667712
118,6.697676181793213,0.00236,0.55859375,52.392778752,7733248
119,6.72846794128418,0.00238,0.76953125,52.392778752,7798784
120,7.670000076293945,0.0024000000000000002,0.8359375,52.392778752,7864320
121,6.688089370727539,0.00242,0.62890625,52.392778752,7929856
122,6.800418853759766,0.00244,1.15625,52.392778752,7995392
123,6.769593715667725,0.00246,0.83984375,52.392778752,8060928
124,6.819919586181641,0.00248,0.7578125,52.392778752,8126464
125,6.880400657653809,0.0025,0.7578125,52.392778752,8192000
126,6.7707719802856445,0.00252,0.6328125,52.392778752,8257536
127,6.694685459136963,0.00254,0.62890625,52.392778752,8323072
128,6.8209028244018555,0.00256,0.57421875,52.392778752,8388608
129,6.743243217468262,0.00258,0.703125,52.392778752,8454144
130,6.791012763977051,0.0026000000000000003,0.69921875,52.392778752,8519680
131,6.730871200561523,0.00262,0.59375,52.392778752,8585216
132,6.520893096923828,0.00264,0.609375,52.392778752,8650752
133,6.652380466461182,0.00266,0.486328125,52.392778752,8716288
134,6.6794281005859375,0.00268,0.7265625,52.392778752,8781824
135,6.767054557800293,0.0027,0.4921875,52.392778752,8847360
136,6.652571678161621,0.0027199999999999998,0.5078125,52.392778752,8912896
137,6.502391338348389,0.0027400000000000002,0.6015625,52.392778752,8978432
138,6.684686183929443,0.0027600000000000003,0.55078125,52.392778752,9043968
139,6.528130531311035,0.00278,0.494140625,52.392778752,9109504
140,6.576812267303467,0.0028,0.60546875,52.392778752,9175040
