step,loss,lr,grad_norm,peak_mem_gb,tok_seen
1,12.076866149902344,1.6e-05,5.0625,50.008549888,65536
2,12.10586166381836,3.2e-05,5.375,52.392778752,131072
3,12.048223495483398,4.7999999999999994e-05,4.9375,52.392778752,196608
4,11.773345947265625,6.4e-05,5.0625,52.392778752,262144
5,11.4071626663208,7.999999999999999e-05,5.125,52.392778752,327680
6,11.162912368774414,9.599999999999999e-05,3.59375,52.392778752,393216
7,10.70185661315918,0.000112,2.40625,52.392778752,458752
8,10.642532348632812,0.000128,2.421875,52.392778752,524288
9,10.355609893798828,0.00014399999999999998,2.21875,52.392778752,589824
10,10.227657318115234,0.00015999999999999999,2.125,52.392778752,655360
11,10.08897590637207,0.000176,2.21875,52.392778752,720896
12,9.974303245544434,0.00019199999999999998,2.109375,52.392778752,786432
13,9.742025375366211,0.000208,2.0,52.392778752,851968
14,9.637590408325195,0.000224,1.8984375,52.392778752,917504
15,9.416902542114258,0.00023999999999999998,1.71875,52.392778752,983040
16,9.268115043640137,0.000256,1.609375,52.392778752,1048576
17,8.995461463928223,0.00027199999999999994,1.484375,52.392778752,1114112
18,8.776529312133789,0.00028799999999999995,1.3203125,52.392778752,1179648
19,8.60400390625,0.000304,1.1953125,52.392778752,1245184
20,8.47702407836914,0.00031999999999999997,1.09375,52.392778752,1310720
21,8.333674430847168,0.000336,1.015625,52.392778752,1376256
22,8.176015853881836,0.000352,0.91015625,52.392778752,1441792
23,7.8808088302612305,0.00036799999999999995,0.8671875,52.392778752,1507328
24,7.849508285522461,0.00038399999999999996,0.85546875,52.392778752,1572864
25,7.808363437652588,0.00039999999999999996,0.82421875,52.392778752,1638400
26,7.873047351837158,0.000416,0.62109375,52.392778752,1703936
27,7.718466281890869,0.00043199999999999993,0.79296875,52.392778752,1769472
28,7.855538845062256,0.000448,0.75,52.392778752,1835008
29,7.781284332275391,0.00046399999999999995,0.6953125,52.392778752,1900544
30,7.735968589782715,0.00047999999999999996,0.81640625,52.392778752,1966080
31,7.833411693572998,0.0004959999999999999,0.8515625,52.392778752,2031616
32,7.664719581604004,0.000512,0.7109375,52.392778752,2097152
33,7.742381572723389,0.0005279999999999999,1.0390625,52.392778752,2162688
34,7.859892845153809,0.0005439999999999999,0.82421875,52.392778752,2228224
35,7.810000896453857,0.00056,0.54296875,52.392778752,2293760
36,8.031719207763672,0.0005759999999999999,0.7890625,52.392778752,2359296
37,7.787353992462158,0.000592,0.56640625,52.392778752,2424832
38,7.782999038696289,0.000608,1.03125,52.392778752,2490368
39,7.6248579025268555,0.000624,0.7578125,52.392778752,2555904
40,7.819452285766602,0.0006399999999999999,0.875,52.392778752,2621440
41,8.092334747314453,0.0006559999999999999,0.6953125,52.392778752,2686976
42,7.776268005371094,0.000672,0.75,52.392778752,2752512
43,7.76804256439209,0.000688,0.68359375,52.392778752,2818048
44,7.774431228637695,0.000704,0.91796875,52.392778752,2883584
45,7.674468994140625,0.0007199999999999999,0.74609375,52.392778752,2949120
46,7.7228922843933105,0.0007359999999999999,0.6953125,52.392778752,3014656
47,7.596953392028809,0.000752,0.6171875,52.392778752,3080192
48,7.618515491485596,0.0007679999999999999,1.734375,52.392778752,3145728
49,7.706063270568848,0.0007839999999999999,1.0078125,52.392778752,3211264
50,7.82780647277832,0.0007999999999999999,0.890625,52.392778752,3276800
51,7.557389259338379,0.000816,0.83203125,52.392778752,3342336
52,7.789693355560303,0.000832,1.140625,52.392778752,3407872
53,7.484668731689453,0.0008479999999999999,0.82421875,52.392778752,3473408
54,7.556588172912598,0.0008639999999999999,1.1015625,52.392778752,3538944
55,7.675731658935547,0.0008799999999999998,1.1796875,52.392778752,3604480
56,7.400895118713379,0.000896,1.0078125,52.392778752,3670016
57,7.572591781616211,0.0009119999999999999,0.94140625,52.392778752,3735552
58,7.414117813110352,0.0009279999999999999,0.9609375,52.392778752,3801088
59,7.382325649261475,0.0009439999999999999,0.625,52.392778752,3866624
60,7.640171051025391,0.0009599999999999999,0.8359375,52.392778752,3932160
61,7.487852573394775,0.000976,0.7109375,52.392778752,3997696
62,7.307923316955566,0.0009919999999999998,0.78515625,52.392778752,4063232
63,7.785104274749756,0.0010079999999999998,0.875,52.392778752,4128768
64,7.371927261352539,0.001024,0.87109375,52.392778752,4194304
65,7.438399791717529,0.00104,0.75390625,52.392778752,4259840
66,7.5026445388793945,0.0010559999999999999,0.53515625,52.392778752,4325376
67,7.31892204284668,0.0010719999999999998,0.72265625,52.392778752,4390912
68,7.40887451171875,0.0010879999999999998,1.1953125,52.392778752,4456448
69,7.298333168029785,0.001104,0.7109375,52.392778752,4521984
70,7.1430463790893555,0.00112,0.98046875,52.392778752,4587520
71,7.21838903427124,0.0011359999999999999,0.48046875,52.392778752,4653056
72,7.248505115509033,0.0011519999999999998,0.98046875,52.392778752,4718592
73,7.018381118774414,0.001168,0.50390625,52.392778752,4784128
74,6.957815647125244,0.001184,0.7578125,52.392778752,4849664
75,7.250655174255371,0.0012,0.8125,52.392778752,4915200
76,7.230735778808594,0.001216,0.447265625,52.392778752,4980736
77,7.416533470153809,0.0012319999999999998,0.57421875,52.392778752,5046272
78,7.223793029785156,0.001248,0.91015625,52.392778752,5111808
79,7.118533611297607,0.0012639999999999997,0.6640625,52.392778752,5177344
80,7.074541091918945,0.0012799999999999999,0.86328125,52.392778752,5242880
81,7.125118255615234,0.001296,0.55859375,52.392778752,5308416
82,7.026659965515137,0.0013119999999999998,1.390625,52.392778752,5373952
83,7.033311367034912,0.001328,0.6015625,52.392778752,5439488
84,7.079090118408203,0.001344,0.7421875,52.392778752,5505024
85,7.04581356048584,0.0013599999999999999,0.71484375,52.392778752,5570560
86,7.026484489440918,0.001376,1.15625,52.392778752,5636096
87,6.886750221252441,0.0013919999999999998,0.58203125,52.392778752,5701632
88,6.921408653259277,0.001408,0.8515625,52.392778752,5767168
89,6.883160591125488,0.001424,0.78125,52.392778752,5832704
90,6.968486309051514,0.0014399999999999999,0.9140625,52.392778752,5898240
91,6.9557905197143555,0.0014559999999999998,0.921875,52.392778752,5963776
92,7.0321149826049805,0.0014719999999999998,0.98828125,52.392778752,6029312
93,7.175870895385742,0.001488,0.828125,52.392778752,6094848
94,6.9085774421691895,0.001504,0.796875,52.392778752,6160384
95,6.901404857635498,0.0015199999999999999,0.8671875,52.392778752,6225920
96,6.874918460845947,0.0015359999999999998,0.90234375,52.392778752,6291456
97,6.870945930480957,0.0015519999999999998,0.92578125,52.392778752,6356992
98,6.727400779724121,0.0015679999999999997,0.78125,52.392778752,6422528
99,6.88726806640625,0.001584,0.8125,52.392778752,6488064
100,7.007444381713867,0.0015999999999999999,0.69140625,52.392778752,6553600
101,6.921991348266602,0.0016159999999999998,0.93359375,52.392778752,6619136
102,6.645922660827637,0.001632,0.78515625,52.392778752,6684672
103,6.841772556304932,0.0016479999999999997,0.75390625,52.392778752,6750208
104,6.913285255432129,0.001664,0.76953125,52.392778752,6815744
105,6.819178581237793,0.0016799999999999999,0.5859375,52.392778752,6881280
106,6.650247097015381,0.0016959999999999998,0.81640625,52.392778752,6946816
107,6.750424861907959,0.001712,0.69921875,52.392778752,7012352
108,6.641843795776367,0.0017279999999999997,0.859375,52.392778752,7077888
