[2026-07-02T07:39:04Z] [sentinel] armed: pid=3134930 kill_at=0.83 interval=30s grace=60s start_ticks=25209537 marker=/home/yashb98/Downloads/BuildFromScratch/research/loop_state.json.sentinel_kill
[2026-07-02T16:28:35Z] [sentinel] heartbeat: pool usage 42.5%, pid 3134930 alive, rss 5.4 GiB
[2026-07-02T16:38:35Z] [sentinel] heartbeat: pool usage 42.4%, pid 3134930 alive, rss 5.4 GiB
[2026-07-02T16:48:35Z] [sentinel] heartbeat: pool usage 42.5%, pid 3134930 alive, rss 5.4 GiB
[2026-07-02T16:58:35Z] [sentinel] heartbeat: pool usage 42.5%, pid 3134930 alive, rss 5.4 GiB
[2026-07-02T17:08:35Z] [sentinel] heartbeat: pool usage 42.5%, pid 3134930 alive, rss 5.4 GiB
[2026-07-02T17:18:35Z] [sentinel] heartbeat: pool usage 42.5%, pid 3134930 alive, rss 5.4 GiB
[2026-07-02T17:28:35Z] [sentinel] heartbeat: pool usage 42.5%, pid 3134930 alive, rss 5.4 GiB
[2026-07-02T17:38:35Z] [sentinel] heartbeat: pool usage 42.5%, pid 3134930 alive, rss 5.4 GiB
[2026-07-02T17:48:35Z] [sentinel] heartbeat: pool usage 42.5%, pid 3134930 alive, rss 5.4 GiB
[2026-07-02T17:58:35Z] [sentinel] heartbeat: pool usage 42.6%, pid 3134930 alive, rss 5.4 GiB
[2026-07-02T18:08:35Z] [sentinel] heartbeat: pool usage 42.6%, pid 3134930 alive, rss 5.4 GiB
[2026-07-02T18:18:35Z] [sentinel] heartbeat: pool usage 42.6%, pid 3134930 alive, rss 5.4 GiB
[2026-07-02T18:28:35Z] [sentinel] heartbeat: pool usage 42.6%, pid 3134930 alive, rss 5.4 GiB
[2026-07-02T18:38:35Z] [sentinel] heartbeat: pool usage 42.6%, pid 3134930 alive, rss 5.4 GiB
[2026-07-02T18:48:35Z] [sentinel] heartbeat: pool usage 42.6%, pid 3134930 alive, rss 5.4 GiB
[2026-07-02T18:58:35Z] [sentinel] heartbeat: pool usage 42.6%, pid 3134930 alive, rss 5.4 GiB
[2026-07-02T19:08:35Z] [sentinel] heartbeat: pool usage 42.7%, pid 3134930 alive, rss 5.4 GiB
