Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
[safe_cuda] capped CUDA at 85% of 129 GB unified pool (~109 GB); over-allocation now errors cleanly.
[07:39:07] ARM grpo_seed0: steps=300 prompts/step=16 G=8 cap=256 beta_kl=0.003 clip=0.2 lr=1e-06 extractor=math-acc-v1 n_prompt_pool=10961
/home/yashb98/Downloads/BuildFromScratch/Qwen3-0.6B/experiments/2026-07-02_qwen3-0.6b_grpo-phase2/train_grpo.py:262: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at /pytorch/torch/csrc/autograd/generated/python_variable_methods.cpp:836.)
  loss_sum += float(mb_loss)
[13:02:44] step 61/300 reward=0.0 kept=13 len=193.1 kl=0.000177 (345.3s)
[13:08:03] step 62/300 reward=0.0078 kept=14 len=190.6 kl=0.000174 (319.0s)
[13:13:38] step 63/300 reward=0.0 kept=14 len=180.1 kl=0.000172 (334.8s)
[13:19:06] step 64/300 reward=0.0156 kept=14 len=203.6 kl=0.000175 (327.5s)
[13:24:21] step 65/300 reward=0.0 kept=14 len=204.8 kl=0.000172 (315.7s)
[13:30:38] step 66/300 reward=0.0156 kept=10 len=198.8 kl=0.000172 (376.9s)
[13:35:53] step 67/300 reward=0.0156 kept=14 len=194.8 kl=0.000166 (315.1s)
[13:41:11] step 68/300 reward=0.0 kept=13 len=195.6 kl=0.000157 (317.3s)
[13:46:25] step 69/300 reward=0.0234 kept=14 len=191.9 kl=0.000166 (314.8s)
[13:51:42] step 70/300 reward=0.0 kept=14 len=188.5 kl=0.000181 (316.9s)
[13:58:28] step 71/300 reward=0.0 kept=10 len=197.2 kl=0.000187 (405.6s)
[14:03:24] step 72/300 reward=0.0078 kept=15 len=189.2 kl=0.000173 (296.3s)
[14:08:34] step 73/300 reward=0.0 kept=14 len=207.3 kl=0.000165 (309.3s)
[14:13:41] step 74/300 reward=0.0078 kept=14 len=189.3 kl=0.000172 (307.1s)
[14:19:01] step 75/300 reward=0.0078 kept=15 len=191.5 kl=0.000163 (320.0s)
[14:24:05] step 76/300 reward=0.0078 kept=14 len=194.9 kl=0.000182 (301.2s)
[14:29:00] step 77/300 reward=0.0078 kept=12 len=205.6 kl=0.000168 (294.3s)
[14:34:21] step 78/300 reward=0.0 kept=15 len=191.5 kl=0.000164 (321.8s)
[14:39:24] step 79/300 reward=0.0078 kept=14 len=200.6 kl=0.000187 (302.0s)
[14:44:30] step 80/300 reward=0.0078 kept=14 len=192.4 kl=0.000175 (306.9s)
[14:50:13] step 81/300 reward=0.0 kept=14 len=215.4 kl=0.00018 (342.7s)
[14:55:27] step 82/300 reward=0.0 kept=13 len=202.5 kl=0.000153 (313.7s)
[15:00:34] step 83/300 reward=0.0078 kept=13 len=197.6 kl=0.000149 (307.3s)
[15:05:47] step 84/300 reward=0.0156 kept=13 len=207.1 kl=0.000174 (312.7s)
[15:10:54] step 85/300 reward=0.0078 kept=14 len=190.3 kl=0.00017 (307.5s)
[15:15:58] step 86/300 reward=0.0156 kept=13 len=212.0 kl=0.00018 (304.1s)
[15:21:24] step 87/300 reward=0.0234 kept=12 len=199.1 kl=0.00016 (326.0s)
[15:26:46] step 88/300 reward=0.0156 kept=14 len=197.7 kl=0.000188 (322.0s)
[15:31:52] step 89/300 reward=0.0156 kept=15 len=180.0 kl=0.00017 (306.2s)
[15:36:47] step 90/300 reward=0.0234 kept=12 len=178.7 kl=0.000181 (294.7s)
[15:41:51] step 91/300 reward=0.0156 kept=14 len=199.6 kl=0.000184 (303.5s)
[15:47:20] step 92/300 reward=0.0078 kept=14 len=189.4 kl=0.000173 (329.0s)
[15:52:38] step 93/300 reward=0.0234 kept=13 len=206.9 kl=0.000168 (317.9s)
[15:57:34] step 94/300 reward=0.0 kept=11 len=203.5 kl=0.000168 (296.7s)
[16:03:42] step 95/300 reward=0.0 kept=13 len=197.1 kl=0.000182 (368.1s)
[16:08:49] step 96/300 reward=0.0 kept=13 len=193.4 kl=0.000164 (306.9s)
[16:13:43] step 97/300 reward=0.0078 kept=14 len=204.5 kl=0.000167 (294.1s)
[16:19:32] step 98/300 reward=0.0078 kept=13 len=189.1 kl=0.000166 (349.0s)
[16:24:48] step 99/300 reward=0.0 kept=13 len=192.0 kl=0.000171 (315.3s)
[16:30:46] step 100/300 reward=0.0156 kept=14 len=199.0 kl=0.000167 (358.3s)
[16:36:00] step 101/300 reward=0.0078 kept=15 len=187.4 kl=0.000173 (310.5s)
[16:41:06] step 102/300 reward=0.0 kept=14 len=189.4 kl=0.00016 (306.0s)
[16:45:57] step 103/300 reward=0.0 kept=12 len=203.0 kl=0.000168 (290.6s)
[16:51:02] step 104/300 reward=0.0156 kept=16 len=185.2 kl=0.000163 (305.6s)
[16:56:04] step 105/300 reward=0.0 kept=14 len=204.8 kl=0.000184 (302.0s)
[17:01:21] step 106/300 reward=0.0 kept=14 len=191.6 kl=0.000186 (316.2s)
[17:06:20] step 107/300 reward=0.0 kept=13 len=215.3 kl=0.000164 (299.8s)
[17:11:20] step 108/300 reward=0.0 kept=11 len=200.0 kl=0.000179 (300.1s)
[17:17:02] step 109/300 reward=0.0 kept=13 len=198.4 kl=0.000171 (342.0s)
[17:22:20] step 110/300 reward=0.0 kept=15 len=183.6 kl=0.00018 (317.3s)
[17:27:33] step 111/300 reward=0.0234 kept=15 len=190.2 kl=0.000173 (312.9s)
[17:32:45] step 112/300 reward=0.0156 kept=15 len=189.6 kl=0.000163 (312.6s)
[17:38:03] step 113/300 reward=0.0078 kept=13 len=195.1 kl=0.000178 (317.7s)
[17:43:12] step 114/300 reward=0.0078 kept=13 len=206.5 kl=0.000185 (309.0s)
[17:48:27] step 115/300 reward=0.0156 kept=14 len=197.9 kl=0.000153 (315.4s)
[17:53:36] step 116/300 reward=0.0078 kept=15 len=178.4 kl=0.000177 (308.1s)
[17:58:38] step 117/300 reward=0.0156 kept=14 len=176.1 kl=0.000164 (302.2s)
[18:03:45] step 118/300 reward=0.0 kept=11 len=207.5 kl=0.000166 (307.0s)
[18:08:42] step 119/300 reward=0.0078 kept=11 len=193.0 kl=0.000172 (297.5s)
[18:14:08] step 120/300 reward=0.0156 kept=15 len=218.0 kl=0.000155 (325.3s)
[18:19:11] step 121/300 reward=0.0391 kept=15 len=196.0 kl=0.000165 (303.2s)
[18:24:14] step 122/300 reward=0.0078 kept=15 len=179.9 kl=0.000166 (303.0s)
[18:29:32] step 123/300 reward=0.0078 kept=15 len=176.4 kl=0.000176 (318.0s)
[18:34:30] step 124/300 reward=0.0078 kept=14 len=193.7 kl=0.000166 (298.2s)
[18:39:28] step 125/300 reward=0.0234 kept=11 len=201.6 kl=0.000175 (298.5s)
[18:44:19] step 126/300 reward=0.0 kept=12 len=171.6 kl=0.000163 (287.3s)
[18:49:20] step 127/300 reward=0.0156 kept=14 len=208.4 kl=0.000163 (301.1s)
[18:54:12] step 128/300 reward=0.0234 kept=14 len=199.9 kl=0.000175 (291.3s)
[18:59:42] step 129/300 reward=0.0078 kept=14 len=198.7 kl=0.000185 (330.3s)
[19:04:52] step 130/300 reward=0.0156 kept=12 len=203.9 kl=0.000178 (309.8s)
[19:10:16] step 131/300 reward=0.0 kept=12 len=206.6 kl=0.000179 (324.0s)
[19:15:51] step 132/300 reward=0.0078 kept=14 len=190.8 kl=0.000177 (335.0s)
[19:21:06] step 133/300 reward=0.0078 kept=12 len=198.2 kl=0.000177 (315.0s)
[19:26:05] step 134/300 reward=0.0 kept=14 len=214.4 kl=0.000156 (299.0s)
[19:31:08] step 135/300 reward=0.0391 kept=12 len=215.6 kl=0.000169 (303.1s)
[19:36:13] step 136/300 reward=0.0078 kept=14 len=207.9 kl=0.00016 (305.1s)
[19:41:16] step 137/300 reward=0.0 kept=12 len=207.5 kl=0.000166 (303.0s)
[19:46:28] step 138/300 reward=0.0234 kept=10 len=195.8 kl=0.000153 (312.0s)
[19:51:40] step 139/300 reward=0.0 kept=15 len=195.9 kl=0.00017 (312.1s)
[19:56:55] step 140/300 reward=0.0156 kept=14 len=186.4 kl=0.000168 (315.0s)
[20:02:18] step 141/300 reward=0.0078 kept=14 len=201.5 kl=0.000174 (323.3s)
[20:07:18] step 142/300 reward=0.0156 kept=15 len=193.2 kl=0.000176 (299.3s)
[20:12:52] step 143/300 reward=0.0312 kept=14 len=189.7 kl=0.00016 (334.1s)
[20:18:13] step 144/300 reward=0.0078 kept=14 len=196.4 kl=0.000158 (320.9s)
[20:23:14] step 145/300 reward=0.0 kept=14 len=210.0 kl=0.000169 (301.8s)
[20:28:50] step 146/300 reward=0.0234 kept=13 len=189.9 kl=0.000175 (335.2s)
[20:33:59] step 147/300 reward=0.0156 kept=14 len=200.6 kl=0.000174 (309.6s)
[20:39:12] step 148/300 reward=0.0156 kept=14 len=201.4 kl=0.000164 (313.2s)
[20:44:25] step 149/300 reward=0.0078 kept=14 len=199.1 kl=0.000171 (312.5s)
[20:49:30] step 150/300 reward=0.0 kept=12 len=194.3 kl=0.000171 (304.9s)
