step,loss,lr,grad_norm,peak_mem_gb,tok_seen
1,2.7363529205322266,4.5454545454545455e-06,0.57421875,50.008549888,524288
2,2.5928940773010254,9.090909090909091e-06,0.60546875,52.392778752,1048576
3,2.964181423187256,1.3636363636363637e-05,0.5703125,52.392778752,1572864
4,2.8072028160095215,1.8181818181818182e-05,0.5859375,52.392778752,2097152
5,2.6942689418792725,2.272727272727273e-05,0.55859375,52.392778752,2621440
6,2.659923553466797,2.7272727272727273e-05,0.59765625,52.392778752,3145728
7,2.806576728820801,3.181818181818182e-05,0.58203125,52.392778752,3670016
8,2.8066306114196777,3.6363636363636364e-05,0.57421875,52.392778752,4194304
9,2.6080515384674072,4.0909090909090915e-05,0.58984375,52.392778752,4718592
10,2.799335241317749,4.545454545454546e-05,0.55859375,52.392778752,5242880
11,2.7792913913726807,5e-05,0.5625,52.392778752,5767168
12,2.7342660427093506,4.9997609681985896e-05,0.5546875,52.392778752,6291456
13,2.5616273880004883,4.99904391857657e-05,0.5234375,52.392778752,6815744
14,2.5100903511047363,4.9978489884718133e-05,0.515625,52.392778752,7340032
15,2.8136448860168457,4.996176406751542e-05,0.51953125,52.392778752,7864320
16,2.6465868949890137,4.9940264937685e-05,0.51953125,52.392778752,8388608
17,2.5173532962799072,4.9913996612995866e-05,0.48046875,52.392778752,8912896
18,2.5004868507385254,4.988296412466996e-05,0.5078125,52.392778752,9437184
19,2.672070264816284,4.984717341641849e-05,0.478515625,52.392778752,9961472
20,2.499903917312622,4.9806631343303534e-05,0.47265625,52.392778752,10485760
21,2.691328525543213,4.976134567042506e-05,0.4765625,52.392778752,11010048
22,2.5204250812530518,4.971132507143367e-05,0.46875,52.392778752,11534336
23,2.7285377979278564,4.9656579126869365e-05,0.470703125,52.392778752,12058624
24,2.6458024978637695,4.959711832232648e-05,0.46484375,52.392778752,12582912
25,2.8025577068328857,4.9532954046445414e-05,0.466796875,52.392778752,13107200
26,2.652937412261963,4.9464098588731335e-05,0.462890625,52.392778752,13631488
27,2.386500358581543,4.939056513720035e-05,0.470703125,52.392778752,14155776
28,3.8166911602020264,4.9312367775853566e-05,0.439453125,52.392778752,14680064
29,2.5739195346832275,4.922952148197956e-05,0.43359375,52.392778752,15204352
30,2.467005729675293,4.914204212328577e-05,0.44921875,52.392778752,15728640
31,2.569990634918213,4.9049946454859266e-05,0.43359375,52.392778752,16252928
32,2.6700515747070312,4.89532521159577e-05,0.423828125,52.392778752,16777216
33,2.699683904647827,4.885197762663076e-05,0.439453125,52.392778752,17301504
34,2.6557133197784424,4.874614238417301e-05,0.419921875,52.392778752,17825792
35,2.3850321769714355,4.86357666594087e-05,0.419921875,52.392778752,18350080
36,2.5428543090820312,4.8520871592809234e-05,0.431640625,52.392778752,18874368
37,3.2956602573394775,4.840147919044413e-05,0.40234375,52.392778752,19398656
38,2.861562490463257,4.827761231976611e-05,0.419921875,52.392778752,19922944
39,2.513218402862549,4.8149294705231284e-05,0.392578125,52.392778752,20447232
40,2.7550442218780518,4.8016550923755186e-05,0.40234375,52.392778752,20971520
41,2.875309705734253,4.787940640000543e-05,0.41796875,52.392778752,21495808
42,2.567826747894287,4.773788740153217e-05,0.408203125,52.392778752,22020096
43,2.4020214080810547,4.7592021033736935e-05,0.3984375,52.392778752,22544384
44,2.6361653804779053,4.7441835234681164e-05,0.416015625,52.392778752,23068672
45,2.457796812057495,4.728735876973513e-05,0.396484375,52.392778752,23592960
46,2.3443171977996826,4.712862122606845e-05,0.404296875,52.392778752,24117248
47,2.6505072116851807,4.696565300698322e-05,0.408203125,52.392778752,24641536
48,2.452557325363159,4.6798485326090807e-05,0.392578125,52.392778752,25165824
49,2.43115496635437,4.662715020133343e-05,0.404296875,52.392778752,25690112
50,2.300964593887329,4.6451680448851744e-05,0.390625,52.392778752,26214400
51,2.492168664932251,4.627210967669943e-05,0.380859375,52.392778752,26738688
52,2.5869765281677246,4.608847227840629e-05,0.396484375,52.392778752,27262976
53,2.346295118331909,4.590080342639066e-05,0.39453125,52.392778752,27787264
54,2.4295496940612793,4.570913906522288e-05,0.38671875,52.392778752,28311552
55,2.4343454837799072,4.55135159047407e-05,0.376953125,52.392778752,28835840
56,2.6696197986602783,4.531397141301819e-05,0.380859375,52.392778752,29360128
57,2.9427490234375,4.511054380918943e-05,0.388671875,52.392778752,29884416
58,2.517470359802246,4.490327205612829e-05,0.37890625,52.392778752,30408704
59,2.4376869201660156,4.4692195852985825e-05,0.38671875,52.392778752,30932992
60,2.583137035369873,4.447735562758662e-05,0.388671875,52.392778752,31457280
61,2.587930679321289,4.425879252868556e-05,0.3984375,52.392778752,31981568
62,2.6890082359313965,4.403654841808651e-05,0.36328125,52.392778752,32505856
63,2.492128372192383,4.3810665862624515e-05,0.38671875,52.392778752,33030144
64,2.448620080947876,4.358118812601281e-05,0.396484375,52.392778752,33554432
65,2.430293321609497,4.3348159160556526e-05,0.3828125,52.392778752,34078720
66,2.4388885498046875,4.311162359873431e-05,0.390625,52.392778752,34603008
67,2.389742612838745,4.28716267446499e-05,0.388671875,52.392778752,35127296
68,2.3106648921966553,4.262821456535487e-05,0.38671875,52.392778752,35651584
69,2.7037103176116943,4.2381433682044486e-05,0.390625,52.392778752,36175872
70,2.4279143810272217,4.2131331361128275e-05,0.388671875,52.392778752,36700160
71,2.4157214164733887,4.187795550517701e-05,0.37890625,52.392778752,37224448
72,2.3062496185302734,4.162135464374779e-05,0.376953125,52.392778752,37748736
73,2.7884137630462646,4.136157792408914e-05,0.396484375,52.392778752,38273024
74,2.2552895545959473,4.109867510172772e-05,0.365234375,52.392778752,38797312
75,2.3588361740112305,4.083269653093854e-05,0.373046875,52.392778752,39321600
76,2.2331292629241943,4.056369315510055e-05,0.388671875,52.392778752,39845888
77,2.58687162399292,4.0291716496939305e-05,0.388671875,52.392778752,40370176
78,2.510251760482788,4.001681864865877e-05,0.37109375,52.392778752,40894464
79,2.6729254722595215,3.973905226196398e-05,0.380859375,52.392778752,41418752
80,2.458037853240967,3.9458470537976564e-05,0.376953125,52.392778752,41943040
81,2.43011736869812,3.9175127217045e-05,0.3515625,52.392778752,42467328
82,2.562603712081909,3.888907656845169e-05,0.365234375,52.392778752,42991616
83,2.5860226154327393,3.860037338001862e-05,0.376953125,52.392778752,43515904
84,2.683954954147339,3.830907294761372e-05,0.384765625,52.392778752,44040192
85,2.6453115940093994,3.8015231064560004e-05,0.37890625,52.392778752,44564480
86,2.5720508098602295,3.771890401094933e-05,0.380859375,52.392778752,45088768
87,2.465902805328369,3.7420148542862985e-05,0.373046875,52.392778752,45613056
88,2.6272497177124023,3.7119021881501034e-05,0.380859375,52.392778752,46137344
89,2.2201735973358154,3.681558170222273e-05,0.365234375,52.392778752,46661632
90,2.4379618167877197,3.650988612349977e-05,0.365234375,52.392778752,47185920
91,2.2910637855529785,3.620199369578475e-05,0.375,52.392778752,47710208
92,2.5373694896698,3.589196339029695e-05,0.37890625,52.392778752,48234496
93,2.3006503582000732,3.55798545877274e-05,0.380859375,52.392778752,48758784
94,2.46012020111084,3.52657270668656e-05,0.376953125,52.392778752,49283072
95,2.614034652709961,3.494964099315002e-05,0.384765625,52.392778752,49807360
96,2.6545445919036865,3.4631656907144425e-05,0.390625,52.392778752,50331648
97,2.2680485248565674,3.431183571294249e-05,0.373046875,52.392778752,50855936
98,2.327315092086792,3.3990238666502704e-05,0.3515625,52.392778752,51380224
99,3.182304620742798,3.366692736391587e-05,0.376953125,52.392778752,51904512
100,2.685236692428589,3.334196372960754e-05,0.380859375,52.392778752,52428800
101,2.6123828887939453,3.301541000447746e-05,0.37890625,52.392778752,52953088
102,2.4009411334991455,3.2687328733978495e-05,0.365234375,52.392778752,53477376
103,2.493126630783081,3.235778275613718e-05,0.37890625,52.392778752,54001664
104,2.463876485824585,3.2026835189518186e-05,0.359375,52.392778752,54525952
105,2.4087777137756348,3.1694549421135166e-05,0.37109375,52.392778752,55050240
106,2.3196301460266113,3.1360989094310075e-05,0.392578125,52.392778752,55574528
107,2.4666450023651123,3.102621809648344e-05,0.3671875,52.392778752,56098816
108,2.620529890060425,3.0690300546977936e-05,0.365234375,52.392778752,56623104
109,2.447739839553833,3.0353300784717414e-05,0.3671875,52.392778752,57147392
110,2.425698757171631,3.0015283355904e-05,0.365234375,52.392778752,57671680
111,2.617295742034912,2.967631300165542e-05,0.35546875,52.392778752,58195968
112,2.5290822982788086,2.9336454645605e-05,0.373046875,52.392778752,58720256
113,2.488802194595337,2.8995773381466747e-05,0.37890625,52.392778752,59244544
114,2.6913325786590576,2.8654334460567806e-05,0.3671875,52.392778752,59768832
115,2.3065297603607178,2.8312203279350735e-05,0.37890625,52.392778752,60293120
116,2.2519607543945312,2.796944536684806e-05,0.369140625,52.392778752,60817408
117,2.292759656906128,2.76261263721313e-05,0.373046875,52.392778752,61341696
118,2.3848540782928467,2.7282312051737136e-05,0.375,52.392778752,61865984
119,2.9593234062194824,2.6938068257072895e-05,0.36328125,52.392778752,62390272
120,2.5671825408935547,2.659346092180393e-05,0.3671875,52.392778752,62914560
121,2.563417911529541,2.6248556049225236e-05,0.369140625,52.392778752,63438848
122,2.397897958755493,2.590341969961964e-05,0.359375,52.392778752,63963136
123,2.3787405490875244,2.5558117977605263e-05,0.357421875,52.392778752,64487424
124,2.4463424682617188,2.5212717019474273e-05,0.392578125,52.392778752,65011712
125,2.4537675380706787,2.4867282980525732e-05,0.37109375,52.392778752,65536000
126,2.347943067550659,2.4521882022394735e-05,0.376953125,52.392778752,66060288
127,2.728243827819824,2.417658030038036e-05,0.361328125,52.392778752,66584576
128,2.4822258949279785,2.383144395077477e-05,0.38671875,52.392778752,67108864
129,2.5871496200561523,2.3486539078196065e-05,0.353515625,52.392778752,67633152
130,2.1463048458099365,2.314193174292711e-05,0.359375,52.392778752,68157440
131,2.5741524696350098,2.2797687948262873e-05,0.36328125,52.392778752,68681728
132,2.2857344150543213,2.24538736278687e-05,0.357421875,52.392778752,69206016
133,2.475398540496826,2.2110554633151946e-05,0.357421875,52.392778752,69730304
134,2.5251829624176025,2.176779672064927e-05,0.376953125,52.392778752,70254592
135,2.443298101425171,2.1425665539432205e-05,0.361328125,52.392778752,70778880
136,2.3902690410614014,2.108422661853326e-05,0.359375,52.392778752,71303168
137,2.378751754760742,2.0743545354395006e-05,0.365234375,52.392778752,71827456
138,2.531536102294922,2.040368699834459e-05,0.373046875,52.392778752,72351744
139,2.492649555206299,2.0064716644096005e-05,0.357421875,52.392778752,72876032
140,2.6073100566864014,1.9726699215282595e-05,0.376953125,52.392778752,73400320
141,2.415327310562134,1.938969945302207e-05,0.365234375,52.392778752,73924608
142,2.229149341583252,1.9053781903516565e-05,0.34765625,52.392778752,74448896
143,2.5585477352142334,1.8719010905689937e-05,0.37109375,52.392778752,74973184
144,2.5960311889648438,1.8385450578864836e-05,0.36328125,52.392778752,75497472
145,2.386962890625,1.8053164810481815e-05,0.380859375,52.392778752,76021760
146,2.0141632556915283,1.7722217243862833e-05,0.3671875,52.392778752,76546048
147,2.3731815814971924,1.7392671266021513e-05,0.35546875,52.392778752,77070336
148,2.511012554168701,1.7064589995522552e-05,0.376953125,52.392778752,77594624
149,2.396334171295166,1.6738036270392476e-05,0.3671875,52.392778752,78118912
150,2.3965957164764404,1.6413072636084132e-05,0.345703125,52.392778752,78643200
151,2.1958954334259033,1.6089761333497295e-05,0.365234375,52.392778752,79167488
152,2.325676679611206,1.5768164287057505e-05,0.376953125,52.392778752,79691776
153,2.537590265274048,1.5448343092855587e-05,0.37109375,52.392778752,80216064
154,2.6230132579803467,1.5130359006849989e-05,0.369140625,52.392778752,80740352
155,2.2659308910369873,1.4814272933134404e-05,0.376953125,52.392778752,81264640
156,2.3897953033447266,1.450014541227261e-05,0.357421875,52.392778752,81788928
157,2.3777894973754883,1.418803660970305e-05,0.369140625,52.392778752,82313216
158,2.191812515258789,1.387800630421524e-05,0.36328125,52.392778752,82837504
159,2.2511098384857178,1.3570113876500229e-05,0.37109375,52.392778752,83361792
160,2.4647412300109863,1.3264418297777262e-05,0.341796875,52.392778752,83886080
161,2.9779751300811768,1.2960978118498959e-05,0.34765625,52.392778752,84410368
162,2.3233606815338135,1.2659851457137024e-05,0.357421875,52.392778752,84934656
163,2.4475255012512207,1.2361095989050666e-05,0.373046875,52.392778752,85458944
