step,loss,lr,grad_norm,peak_mem_gb,tok_seen
1,3.0234718322753906,4.5454545454545455e-06,0.6015625,50.008549888,524288
2,2.5962467193603516,9.090909090909091e-06,0.5625,52.392778752,1048576
3,2.897085666656494,1.3636363636363637e-05,0.57421875,52.392778752,1572864
4,2.776270627975464,1.8181818181818182e-05,0.57421875,52.392778752,2097152
5,2.5240542888641357,2.272727272727273e-05,0.57421875,52.392778752,2621440
6,2.7341012954711914,2.7272727272727273e-05,0.55859375,52.392778752,3145728
7,2.5681023597717285,3.181818181818182e-05,0.5859375,52.392778752,3670016
8,2.6803338527679443,3.6363636363636364e-05,0.57421875,52.392778752,4194304
9,2.793438673019409,4.0909090909090915e-05,0.55078125,52.392778752,4718592
10,2.467543363571167,4.545454545454546e-05,0.58203125,52.392778752,5242880
11,2.4557907581329346,5e-05,0.5390625,52.392778752,5767168
12,2.522575616836548,4.9997609681985896e-05,0.53515625,52.392778752,6291456
13,2.71244215965271,4.99904391857657e-05,0.55859375,52.392778752,6815744
14,2.765251874923706,4.9978489884718133e-05,0.51953125,52.392778752,7340032
15,2.556553840637207,4.996176406751542e-05,0.50390625,52.392778752,7864320
16,2.350778818130493,4.9940264937685e-05,0.5,52.392778752,8388608
17,2.639312744140625,4.9913996612995866e-05,0.486328125,52.392778752,8912896
18,2.626713275909424,4.988296412466996e-05,0.515625,52.392778752,9437184
19,2.640354871749878,4.984717341641849e-05,0.50390625,52.392778752,9961472
20,2.4966025352478027,4.9806631343303534e-05,0.482421875,52.392778752,10485760
21,2.5880212783813477,4.976134567042506e-05,0.474609375,52.392778752,11010048
22,2.4104039669036865,4.971132507143367e-05,0.484375,52.392778752,11534336
23,2.7434844970703125,4.9656579126869365e-05,0.462890625,52.392778752,12058624
24,2.5731372833251953,4.959711832232648e-05,0.46484375,52.392778752,12582912
25,2.5040671825408936,4.9532954046445414e-05,0.4453125,52.392778752,13107200
26,2.4514811038970947,4.9464098588731335e-05,0.462890625,52.392778752,13631488
27,2.666303873062134,4.939056513720035e-05,0.44921875,52.392778752,14155776
28,2.6898000240325928,4.9312367775853566e-05,0.44140625,52.392778752,14680064
29,2.3925259113311768,4.922952148197956e-05,0.453125,52.392778752,15204352
30,2.3693857192993164,4.914204212328577e-05,0.44140625,52.392778752,15728640
31,2.538628578186035,4.9049946454859266e-05,0.419921875,52.392778752,16252928
32,2.6683602333068848,4.89532521159577e-05,0.427734375,52.392778752,16777216
33,2.5768771171569824,4.885197762663076e-05,0.431640625,52.392778752,17301504
34,2.446326971054077,4.874614238417301e-05,0.4296875,52.392778752,17825792
35,2.5710039138793945,4.86357666594087e-05,0.427734375,52.392778752,18350080
36,2.4293761253356934,4.8520871592809234e-05,0.41796875,52.392778752,18874368
37,2.562479019165039,4.840147919044413e-05,0.408203125,52.392778752,19398656
38,2.5657715797424316,4.827761231976611e-05,0.419921875,52.392778752,19922944
39,2.888789415359497,4.8149294705231284e-05,0.435546875,52.392778752,20447232
40,2.3780157566070557,4.8016550923755186e-05,0.423828125,52.392778752,20971520
41,2.3861465454101562,4.787940640000543e-05,0.427734375,52.392778752,21495808
42,2.5536465644836426,4.773788740153217e-05,0.3984375,52.392778752,22020096
43,2.7943952083587646,4.7592021033736935e-05,0.41796875,52.392778752,22544384
44,2.761873722076416,4.7441835234681164e-05,0.404296875,52.392778752,23068672
45,2.387399435043335,4.728735876973513e-05,0.396484375,52.392778752,23592960
46,2.4369406700134277,4.712862122606845e-05,0.40234375,52.392778752,24117248
47,2.398379325866699,4.696565300698322e-05,0.40234375,52.392778752,24641536
48,2.5783274173736572,4.6798485326090807e-05,0.400390625,52.392778752,25165824
49,2.533712148666382,4.662715020133343e-05,0.40234375,52.392778752,25690112
50,2.544445037841797,4.6451680448851744e-05,0.396484375,52.392778752,26214400
51,2.5761499404907227,4.627210967669943e-05,0.384765625,52.392778752,26738688
52,2.6391236782073975,4.608847227840629e-05,0.3828125,52.392778752,27262976
53,2.2759604454040527,4.590080342639066e-05,0.38671875,52.392778752,27787264
54,2.811372995376587,4.570913906522288e-05,0.376953125,52.392778752,28311552
