[04:41:13] ARM arch=faithful schedule=cosine optimizer=adamw zloss=0.0 | vr=False ln=False hg=False | steps=2000 seed=2 tok/step=65,536
[06:00:57]   [ckpt @ 500] -> checkpoint_treatment_seed2.pt
[06:02:33] step   510/2000  ce 5.2880  lr 1.55e-03  |grad| 0.32  mem 57.4GB  tok/s 6,855
[06:04:09] step   520/2000  ce 5.2603  lr 1.54e-03  |grad| 0.33  mem 57.4GB  tok/s 6,855
[06:05:44] step   530/2000  ce 5.1403  lr 1.53e-03  |grad| 0.30  mem 57.4GB  tok/s 6,855
[06:07:20] step   540/2000  ce 5.2343  lr 1.53e-03  |grad| 0.33  mem 57.4GB  tok/s 6,856
[06:08:55] step   550/2000  ce 4.8988  lr 1.52e-03  |grad| 0.36  mem 57.4GB  tok/s 6,856
[06:10:30] step   560/2000  ce 4.9191  lr 1.51e-03  |grad| 0.30  mem 57.4GB  tok/s 6,857
[06:12:05] step   570/2000  ce 5.1127  lr 1.50e-03  |grad| 0.34  mem 57.4GB  tok/s 6,858
[06:13:40] step   580/2000  ce 5.1078  lr 1.49e-03  |grad| 0.31  mem 57.4GB  tok/s 6,858
[06:15:15] step   590/2000  ce 5.2372  lr 1.49e-03  |grad| 0.33  mem 57.4GB  tok/s 6,859
[06:16:51] step   600/2000  ce 4.9124  lr 1.48e-03  |grad| 0.29  mem 57.4GB  tok/s 6,859
[06:18:26] step   610/2000  ce 5.3713  lr 1.47e-03  |grad| 0.29  mem 57.4GB  tok/s 6,859
[06:20:01] step   620/2000  ce 4.9580  lr 1.46e-03  |grad| 0.27  mem 57.4GB  tok/s 6,859
[06:21:37] step   630/2000  ce 4.9742  lr 1.45e-03  |grad| 0.33  mem 57.4GB  tok/s 6,860
[06:23:12] step   640/2000  ce 4.8783  lr 1.44e-03  |grad| 0.33  mem 57.4GB  tok/s 6,860
[06:24:48] step   650/2000  ce 5.1287  lr 1.43e-03  |grad| 0.30  mem 57.4GB  tok/s 6,860
[06:26:23] step   660/2000  ce 5.0852  lr 1.42e-03  |grad| 0.27  mem 57.4GB  tok/s 6,860
[06:27:59] step   670/2000  ce 4.7301  lr 1.42e-03  |grad| 0.28  mem 57.4GB  tok/s 6,860
[06:29:34] step   680/2000  ce 4.8462  lr 1.41e-03  |grad| 0.32  mem 57.4GB  tok/s 6,860
[06:31:09] step   690/2000  ce 4.8219  lr 1.40e-03  |grad| 0.28  mem 57.4GB  tok/s 6,861
