[00:11:50] ARM arch=faithful schedule=cosine optimizer=adamw zloss=0.0 | vr=False ln=False hg=False | steps=2000 seed=2 tok/step=65,536
[01:31:02]   [ckpt @ 500] -> checkpoint_baseline_seed2.pt
[01:32:37] step   510/2000  ce 5.0429  lr 1.55e-03  |grad| 0.30  mem 57.4GB  tok/s 6,902
[01:34:11] step   520/2000  ce 5.0731  lr 1.54e-03  |grad| 0.39  mem 57.4GB  tok/s 6,903
[01:35:46] step   530/2000  ce 4.9070  lr 1.53e-03  |grad| 0.33  mem 57.4GB  tok/s 6,903
[01:37:20] step   540/2000  ce 4.8983  lr 1.53e-03  |grad| 0.31  mem 57.4GB  tok/s 6,904
[01:38:55] step   550/2000  ce 5.0313  lr 1.52e-03  |grad| 0.30  mem 57.4GB  tok/s 6,904
[01:40:29] step   560/2000  ce 4.9653  lr 1.51e-03  |grad| 0.27  mem 57.4GB  tok/s 6,905
[01:42:04] step   570/2000  ce 4.9827  lr 1.50e-03  |grad| 0.28  mem 57.4GB  tok/s 6,905
[01:43:38] step   580/2000  ce 4.8343  lr 1.49e-03  |grad| 0.27  mem 57.4GB  tok/s 6,906
[01:45:13] step   590/2000  ce 4.5587  lr 1.49e-03  |grad| 0.29  mem 57.4GB  tok/s 6,906
[01:46:48] step   600/2000  ce 4.7975  lr 1.48e-03  |grad| 0.36  mem 57.4GB  tok/s 6,906
[01:48:22] step   610/2000  ce 4.8639  lr 1.47e-03  |grad| 0.30  mem 57.4GB  tok/s 6,907
[01:49:56] step   620/2000  ce 4.6592  lr 1.46e-03  |grad| 0.32  mem 57.4GB  tok/s 6,907
[01:51:31] step   630/2000  ce 4.7855  lr 1.45e-03  |grad| 0.30  mem 57.4GB  tok/s 6,908
[01:53:05] step   640/2000  ce 4.7957  lr 1.44e-03  |grad| 0.27  mem 57.4GB  tok/s 6,908
[01:54:40] step   650/2000  ce 4.7394  lr 1.43e-03  |grad| 0.39  mem 57.4GB  tok/s 6,909
[01:56:15] step   660/2000  ce 4.8652  lr 1.42e-03  |grad| 0.36  mem 57.4GB  tok/s 6,909
[01:57:49] step   670/2000  ce 4.9438  lr 1.42e-03  |grad| 0.26  mem 57.4GB  tok/s 6,909
[01:59:24] step   680/2000  ce 4.8854  lr 1.41e-03  |grad| 0.38  mem 57.4GB  tok/s 6,910
[02:00:58] step   690/2000  ce 4.7082  lr 1.40e-03  |grad| 0.27  mem 57.4GB  tok/s 6,910
[02:02:33] step   700/2000  ce 4.8578  lr 1.39e-03  |grad| 0.25  mem 57.4GB  tok/s 6,910
[02:04:07] step   710/2000  ce 4.6387  lr 1.38e-03  |grad| 0.25  mem 57.4GB  tok/s 6,911
[02:05:42] step   720/2000  ce 4.5504  lr 1.37e-03  |grad| 0.27  mem 57.4GB  tok/s 6,911
[02:07:16] step   730/2000  ce 4.5477  lr 1.36e-03  |grad| 0.31  mem 57.4GB  tok/s 6,911
[02:08:51] step   740/2000  ce 4.4939  lr 1.35e-03  |grad| 0.25  mem 57.4GB  tok/s 6,912
[02:10:25] step   750/2000  ce 4.7177  lr 1.34e-03  |grad| 0.24  mem 57.4GB  tok/s 6,912
[02:10:29]   [ckpt @ 750] -> checkpoint_baseline_seed2.pt
[02:12:03] step   760/2000  ce 4.6277  lr 1.33e-03  |grad| 0.31  mem 57.4GB  tok/s 6,909
[02:13:38] step   770/2000  ce 4.4052  lr 1.32e-03  |grad| 0.27  mem 57.4GB  tok/s 6,909
[02:15:12] step   780/2000  ce 4.6499  lr 1.31e-03  |grad| 0.25  mem 57.4GB  tok/s 6,910
