[safe_cuda] capped CUDA at 85% of 129 GB unified pool (~109 GB); over-allocation now errors cleanly.
[06:53:29] ARM arch=faithful schedule=cosine optimizer=adamw zloss=0.0001 | vr=False ln=False hg=False | steps=2000 seed=1 tok/step=65,536
[06:53:30] optimizer split: 197 / 113 param tensors
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
[06:53:33]   loaded cached tokens from tokcache_133072000_300000_seed0_Qwen3-0.6B-Base.pt (133,072,000 train + 300,000 val)
[06:53:33] Compiling model...
[08:28:44] step   440/2000  ce 5.2812  z 0.01333  lr 1.59e-03  |grad| 0.31  mem 67.3GB  tok/s 5,049
[08:30:54] step   450/2000  ce 5.2047  z 0.01364  lr 1.59e-03  |grad| 0.29  mem 67.3GB  tok/s 5,049
[08:33:04] step   460/2000  ce 5.5387  z 0.01339  lr 1.58e-03  |grad| 0.30  mem 67.3GB  tok/s 5,050
[08:35:13] step   470/2000  ce 5.1899  z 0.01354  lr 1.57e-03  |grad| 0.30  mem 67.3GB  tok/s 5,050
[08:37:23] step   480/2000  ce 5.1589  z 0.01336  lr 1.57e-03  |grad| 0.29  mem 67.3GB  tok/s 5,050
[08:39:33] step   490/2000  ce 5.1390  z 0.01367  lr 1.56e-03  |grad| 0.31  mem 67.3GB  tok/s 5,050
[08:41:42] step   500/2000  ce 5.1478  z 0.01367  lr 1.55e-03  |grad| 0.27  mem 67.3GB  tok/s 5,050
[08:41:53]   [eval @ 500] val PPL=150.08
[08:41:57]   [ckpt @ 500] -> checkpoint_zloss_seed1.pt
[08:44:06] step   510/2000  ce 4.9659  z 0.01365  lr 1.55e-03  |grad| 0.36  mem 67.3GB  tok/s 5,039
[08:46:20] step   520/2000  ce 4.9414  z 0.01350  lr 1.54e-03  |grad| 0.31  mem 67.3GB  tok/s 5,036
[08:48:40] step   530/2000  ce 5.2109  z 0.01321  lr 1.53e-03  |grad| 0.29  mem 67.3GB  tok/s 5,029
[08:50:59] step   540/2000  ce 4.7951  z 0.01409  lr 1.53e-03  |grad| 0.32  mem 67.3GB  tok/s 5,023
[08:53:14] step   550/2000  ce 5.0373  z 0.01371  lr 1.52e-03  |grad| 0.30  mem 67.3GB  tok/s 5,020
[08:55:34] step   560/2000  ce 4.7550  z 0.01395  lr 1.51e-03  |grad| 0.38  mem 67.3GB  tok/s 5,014
[08:57:53] step   570/2000  ce 4.9041  z 0.01374  lr 1.50e-03  |grad| 0.29  mem 67.3GB  tok/s 5,008
[09:00:12] step   580/2000  ce 4.6440  z 0.01393  lr 1.49e-03  |grad| 0.28  mem 67.3GB  tok/s 5,002
[09:02:32] step   590/2000  ce 4.6864  z 0.01418  lr 1.49e-03  |grad| 0.28  mem 67.3GB  tok/s 4,996
[09:04:52] step   600/2000  ce 5.0975  z 0.01360  lr 1.48e-03  |grad| 0.28  mem 67.3GB  tok/s 4,991
[09:07:11] step   610/2000  ce 4.4856  z 0.01442  lr 1.47e-03  |grad| 0.30  mem 67.3GB  tok/s 4,986
[09:09:31] step   620/2000  ce 4.8139  z 0.01410  lr 1.46e-03  |grad| 0.26  mem 67.3GB  tok/s 4,981
[09:11:51] step   630/2000  ce 4.3464  z 0.01486  lr 1.45e-03  |grad| 0.25  mem 67.3GB  tok/s 4,976
[09:14:13] step   640/2000  ce 4.6962  z 0.01415  lr 1.44e-03  |grad| 0.26  mem 67.3GB  tok/s 4,970
[09:16:32] step   650/2000  ce 4.5781  z 0.01402  lr 1.43e-03  |grad| 0.29  mem 67.3GB  tok/s 4,966
[09:18:54] step   660/2000  ce 4.6487  z 0.01445  lr 1.42e-03  |grad| 0.28  mem 67.3GB  tok/s 4,960
[09:21:14] step   670/2000  ce 4.7076  z 0.01395  lr 1.42e-03  |grad| 0.28  mem 67.3GB  tok/s 4,956
