[03:11:22] ARM arch=imu1 schedule=cosine optimizer=adamw zloss=0.0 | vr=True ln=True hg=True | steps=2000 seed=1 tok/step=65,536
[04:36:20]   [ckpt @ 500] -> checkpoint_arch_seed1.pt
[04:38:02] step   510/2000  ce 4.6791  lr 1.55e-03  |grad| 0.23  mem 61.1GB  tok/s 6,433
[04:39:43] step   520/2000  ce 4.4648  lr 1.54e-03  |grad| 0.23  mem 61.1GB  tok/s 6,433
[04:41:25] step   530/2000  ce 4.4180  lr 1.53e-03  |grad| 0.26  mem 61.1GB  tok/s 6,434
[04:43:06] step   540/2000  ce 4.4754  lr 1.53e-03  |grad| 0.26  mem 61.1GB  tok/s 6,434
[04:44:47] step   550/2000  ce 4.4743  lr 1.52e-03  |grad| 0.24  mem 61.1GB  tok/s 6,435
[04:46:29] step   560/2000  ce 4.4123  lr 1.51e-03  |grad| 0.22  mem 61.1GB  tok/s 6,435
[04:48:10] step   570/2000  ce 4.6296  lr 1.50e-03  |grad| 0.23  mem 61.1GB  tok/s 6,436
[04:49:52] step   580/2000  ce 4.6753  lr 1.49e-03  |grad| 0.27  mem 61.1GB  tok/s 6,436
[04:51:33] step   590/2000  ce 4.4581  lr 1.49e-03  |grad| 0.22  mem 61.1GB  tok/s 6,437
[04:53:14] step   600/2000  ce 4.3309  lr 1.48e-03  |grad| 0.22  mem 61.1GB  tok/s 6,437
[04:54:56] step   610/2000  ce 4.3882  lr 1.47e-03  |grad| 0.22  mem 61.1GB  tok/s 6,438
[04:56:37] step   620/2000  ce 4.4112  lr 1.46e-03  |grad| 0.22  mem 61.1GB  tok/s 6,438
[04:58:19] step   630/2000  ce 4.1249  lr 1.45e-03  |grad| 0.27  mem 61.1GB  tok/s 6,438
[05:00:00] step   640/2000  ce 4.2395  lr 1.44e-03  |grad| 0.23  mem 61.1GB  tok/s 6,439
[05:01:41] step   650/2000  ce 4.3312  lr 1.43e-03  |grad| 0.22  mem 61.1GB  tok/s 6,439
[05:03:23] step   660/2000  ce 4.3616  lr 1.42e-03  |grad| 0.24  mem 61.1GB  tok/s 6,439
[05:05:04] step   670/2000  ce 4.2491  lr 1.42e-03  |grad| 0.23  mem 61.1GB  tok/s 6,440
[05:06:46] step   680/2000  ce 4.1697  lr 1.41e-03  |grad| 0.23  mem 61.1GB  tok/s 6,440
[05:08:27] step   690/2000  ce 3.9572  lr 1.40e-03  |grad| 0.23  mem 61.1GB  tok/s 6,440
[05:10:08] step   700/2000  ce 4.1768  lr 1.39e-03  |grad| 0.21  mem 61.1GB  tok/s 6,441
[05:11:50] step   710/2000  ce 4.1503  lr 1.38e-03  |grad| 0.20  mem 61.1GB  tok/s 6,441
[05:13:31] step   720/2000  ce 4.3216  lr 1.37e-03  |grad| 0.22  mem 61.1GB  tok/s 6,441
[05:15:13] step   730/2000  ce 4.3909  lr 1.36e-03  |grad| 0.23  mem 61.1GB  tok/s 6,442
[05:16:54] step   740/2000  ce 4.2487  lr 1.35e-03  |grad| 0.22  mem 61.1GB  tok/s 6,442
[05:18:36] step   750/2000  ce 4.2024  lr 1.34e-03  |grad| 0.20  mem 61.1GB  tok/s 6,442
[05:18:42]   [ckpt @ 750] -> checkpoint_arch_seed1.pt
[05:20:23] step   760/2000  ce 3.9508  lr 1.33e-03  |grad| 0.19  mem 61.1GB  tok/s 6,437
[05:22:04] step   770/2000  ce 4.2668  lr 1.32e-03  |grad| 0.23  mem 61.1GB  tok/s 6,438
[05:23:46] step   780/2000  ce 4.1330  lr 1.31e-03  |grad| 0.22  mem 61.1GB  tok/s 6,438
[05:25:27] step   790/2000  ce 4.2724  lr 1.30e-03  |grad| 0.19  mem 61.1GB  tok/s 6,438
[05:27:09] step   800/2000  ce 4.1992  lr 1.29e-03  |grad| 0.20  mem 61.1GB  tok/s 6,439
[05:28:50] step   810/2000  ce 4.1690  lr 1.28e-03  |grad| 0.20  mem 61.1GB  tok/s 6,439
[05:30:32] step   820/2000  ce 4.0656  lr 1.27e-03  |grad| 0.19  mem 61.1GB  tok/s 6,439
[05:32:13] step   830/2000  ce 4.1146  lr 1.26e-03  |grad| 0.20  mem 61.1GB  tok/s 6,439
[05:33:54] step   840/2000  ce 4.1479  lr 1.24e-03  |grad| 0.23  mem 61.1GB  tok/s 6,440
[05:35:36] step   850/2000  ce 4.1014  lr 1.23e-03  |grad| 0.20  mem 61.1GB  tok/s 6,440
[05:37:17] step   860/2000  ce 3.7284  lr 1.22e-03  |grad| 0.20  mem 61.1GB  tok/s 6,440
[05:38:59] step   870/2000  ce 3.9881  lr 1.21e-03  |grad| 0.20  mem 61.1GB  tok/s 6,440
[05:40:40] step   880/2000  ce 4.0536  lr 1.20e-03  |grad| 0.19  mem 61.1GB  tok/s 6,441
[05:42:22] step   890/2000  ce 4.0471  lr 1.19e-03  |grad| 0.20  mem 61.1GB  tok/s 6,441
[05:44:03] step   900/2000  ce 3.9803  lr 1.18e-03  |grad| 0.19  mem 61.1GB  tok/s 6,441
[05:45:45] step   910/2000  ce 4.1165  lr 1.17e-03  |grad| 0.20  mem 61.1GB  tok/s 6,441
[05:47:26] step   920/2000  ce 4.2396  lr 1.16e-03  |grad| 0.20  mem 61.1GB  tok/s 6,441
[05:49:07] step   930/2000  ce 4.0603  lr 1.15e-03  |grad| 0.23  mem 61.1GB  tok/s 6,442
[05:50:49] step   940/2000  ce 3.9208  lr 1.13e-03  |grad| 0.22  mem 61.1GB  tok/s 6,442
[05:52:30] step   950/2000  ce 3.9401  lr 1.12e-03  |grad| 0.19  mem 61.1GB  tok/s 6,442
[05:54:12] step   960/2000  ce 4.0615  lr 1.11e-03  |grad| 0.20  mem 61.1GB  tok/s 6,442
[05:55:53] step   970/2000  ce 3.9625  lr 1.10e-03  |grad| 0.22  mem 61.1GB  tok/s 6,443
[05:57:34] step   980/2000  ce 4.2909  lr 1.09e-03  |grad| 0.20  mem 61.1GB  tok/s 6,443
[05:59:16] step   990/2000  ce 4.1225  lr 1.08e-03  |grad| 0.18  mem 61.1GB  tok/s 6,443
[06:00:57] step  1000/2000  ce 3.9808  lr 1.07e-03  |grad| 0.21  mem 61.1GB  tok/s 6,443
[06:01:07]   [eval @ 1000] val PPL=51.55
[06:01:10]   [ckpt @ 1000] -> checkpoint_arch_seed1.pt
[06:02:52] step  1010/2000  ce 3.9021  lr 1.06e-03  |grad| 0.20  mem 61.1GB  tok/s 6,435
[06:04:33] step  1020/2000  ce 3.8192  lr 1.04e-03  |grad| 0.20  mem 61.1GB  tok/s 6,435
[06:06:15] step  1030/2000  ce 3.9517  lr 1.03e-03  |grad| 0.19  mem 61.1GB  tok/s 6,436
