[safe_cuda] capped CUDA at 85% of 129 GB unified pool (~109 GB); over-allocation now errors cleanly.
[14:09:58] ARM arch=faithful schedule=cosine optimizer=adamw zloss=0.0001 | vr=False ln=False hg=False | steps=2000 seed=2 tok/step=65,536
[14:09:58] optimizer split: 197 / 113 param tensors
[14:10:01]   loaded cached tokens from tokcache_133072000_300000_seed0_Qwen3-0.6B-Base.pt (133,072,000 train + 300,000 val)
[14:10:01] Compiling model...
[14:12:16] step    10/2000  ce 10.0996  z 0.01418  lr 1.70e-04  |grad| 1.88  mem 67.3GB  tok/s 4,890
[14:14:25] step    20/2000  ce 8.0933  z 0.01247  lr 3.40e-04  |grad| 0.91  mem 67.3GB  tok/s 4,973
[14:16:35] step    30/2000  ce 7.8771  z 0.01360  lr 5.10e-04  |grad| 0.79  mem 67.3GB  tok/s 5,004
[14:18:44] step    40/2000  ce 7.5360  z 0.01278  lr 6.80e-04  |grad| 0.65  mem 67.3GB  tok/s 5,017
[14:20:54] step    50/2000  ce 7.4409  z 0.01273  lr 8.50e-04  |grad| 0.98  mem 67.3GB  tok/s 5,023
[14:23:04] step    60/2000  ce 7.2608  z 0.01276  lr 1.02e-03  |grad| 0.64  mem 67.3GB  tok/s 5,028
[14:25:14] step    70/2000  ce 7.1948  z 0.01303  lr 1.19e-03  |grad| 0.72  mem 67.3GB  tok/s 5,030
[14:27:24] step    80/2000  ce 7.1024  z 0.01322  lr 1.36e-03  |grad| 0.56  mem 67.3GB  tok/s 5,031
[14:29:34] step    90/2000  ce 6.7944  z 0.01347  lr 1.53e-03  |grad| 0.70  mem 67.3GB  tok/s 5,033
[14:31:44] step   100/2000  ce 6.8751  z 0.01335  lr 1.70e-03  |grad| 0.62  mem 67.3GB  tok/s 5,034
[14:33:54] step   110/2000  ce 6.6022  z 0.01342  lr 1.70e-03  |grad| 0.46  mem 67.3GB  tok/s 5,035
[14:36:04] step   120/2000  ce 6.5253  z 0.01352  lr 1.70e-03  |grad| 0.59  mem 67.3GB  tok/s 5,035
[14:38:14] step   130/2000  ce 6.4847  z 0.01290  lr 1.70e-03  |grad| 0.74  mem 67.3GB  tok/s 5,036
[14:40:24] step   140/2000  ce 6.3284  z 0.01312  lr 1.70e-03  |grad| 0.39  mem 67.3GB  tok/s 5,036
[14:42:34] step   150/2000  ce 6.3241  z 0.01304  lr 1.70e-03  |grad| 0.61  mem 67.3GB  tok/s 5,037
[14:44:43] step   160/2000  ce 6.5829  z 0.01329  lr 1.70e-03  |grad| 0.71  mem 67.3GB  tok/s 5,038
[14:46:53] step   170/2000  ce 6.0860  z 0.01313  lr 1.70e-03  |grad| 0.41  mem 67.3GB  tok/s 5,038
[14:49:03] step   180/2000  ce 6.1620  z 0.01326  lr 1.69e-03  |grad| 0.48  mem 67.3GB  tok/s 5,039
[14:51:13] step   190/2000  ce 6.1649  z 0.01259  lr 1.69e-03  |grad| 0.53  mem 67.3GB  tok/s 5,040
[14:53:22] step   200/2000  ce 6.2751  z 0.01274  lr 1.69e-03  |grad| 0.54  mem 67.3GB  tok/s 5,040
[14:55:32] step   210/2000  ce 5.8674  z 0.01313  lr 1.69e-03  |grad| 0.47  mem 67.3GB  tok/s 5,040
[14:57:42] step   220/2000  ce 6.1655  z 0.01269  lr 1.69e-03  |grad| 0.42  mem 67.3GB  tok/s 5,041
[14:59:52] step   230/2000  ce 5.8847  z 0.01297  lr 1.68e-03  |grad| 0.47  mem 67.3GB  tok/s 5,041
[15:02:02] step   240/2000  ce 6.0877  z 0.01286  lr 1.68e-03  |grad| 0.41  mem 67.3GB  tok/s 5,041
[15:04:12] step   250/2000  ce 5.8763  z 0.01301  lr 1.68e-03  |grad| 0.32  mem 67.3GB  tok/s 5,041
[15:04:16]   [ckpt @ 250] -> checkpoint_zloss_seed2.pt
[15:06:25] step   260/2000  ce 5.7109  z 0.01306  lr 1.68e-03  |grad| 0.43  mem 67.3GB  tok/s 5,036
[15:08:35] step   270/2000  ce 5.5042  z 0.01321  lr 1.67e-03  |grad| 0.43  mem 67.3GB  tok/s 5,036
[15:10:45] step   280/2000  ce 5.7114  z 0.01302  lr 1.67e-03  |grad| 0.39  mem 67.3GB  tok/s 5,036
[15:12:55] step   290/2000  ce 5.5236  z 0.01333  lr 1.67e-03  |grad| 0.35  mem 67.3GB  tok/s 5,037
[15:15:05] step   300/2000  ce 5.8453  z 0.01300  lr 1.66e-03  |grad| 0.34  mem 67.3GB  tok/s 5,037
[15:17:15] step   310/2000  ce 5.7193  z 0.01332  lr 1.66e-03  |grad| 0.44  mem 67.3GB  tok/s 5,037
[15:19:25] step   320/2000  ce 5.3908  z 0.01353  lr 1.65e-03  |grad| 0.36  mem 67.3GB  tok/s 5,038
[15:21:35] step   330/2000  ce 5.6363  z 0.01307  lr 1.65e-03  |grad| 0.38  mem 67.3GB  tok/s 5,038
[15:23:44] step   340/2000  ce 5.7196  z 0.01312  lr 1.65e-03  |grad| 0.37  mem 67.3GB  tok/s 5,038
[15:25:54] step   350/2000  ce 5.3175  z 0.01325  lr 1.64e-03  |grad| 0.38  mem 67.3GB  tok/s 5,039
[15:28:04] step   360/2000  ce 5.4066  z 0.01336  lr 1.64e-03  |grad| 0.44  mem 67.3GB  tok/s 5,039
[15:30:14] step   370/2000  ce 5.8360  z 0.01262  lr 1.63e-03  |grad| 0.36  mem 67.3GB  tok/s 5,039
[15:32:24] step   380/2000  ce 5.4158  z 0.01314  lr 1.63e-03  |grad| 0.35  mem 67.3GB  tok/s 5,039
[15:34:34] step   390/2000  ce 5.1892  z 0.01340  lr 1.62e-03  |grad| 0.28  mem 67.3GB  tok/s 5,039
[15:36:44] step   400/2000  ce 5.2412  z 0.01331  lr 1.62e-03  |grad| 0.31  mem 67.3GB  tok/s 5,040
[15:38:53] step   410/2000  ce 5.3123  z 0.01328  lr 1.61e-03  |grad| 0.42  mem 67.3GB  tok/s 5,040
[15:41:03] step   420/2000  ce 5.1814  z 0.01343  lr 1.61e-03  |grad| 0.39  mem 67.3GB  tok/s 5,040
[15:43:13] step   430/2000  ce 5.2239  z 0.01328  lr 1.60e-03  |grad| 0.34  mem 67.3GB  tok/s 5,040
[15:45:23] step   440/2000  ce 5.3399  z 0.01357  lr 1.59e-03  |grad| 0.36  mem 67.3GB  tok/s 5,040
[15:47:33] step   450/2000  ce 5.2743  z 0.01344  lr 1.59e-03  |grad| 0.33  mem 67.3GB  tok/s 5,041
[15:49:43] step   460/2000  ce 5.1748  z 0.01308  lr 1.58e-03  |grad| 0.32  mem 67.3GB  tok/s 5,041
[15:51:52] step   470/2000  ce 5.0325  z 0.01346  lr 1.57e-03  |grad| 0.35  mem 67.3GB  tok/s 5,041
[15:54:02] step   480/2000  ce 5.0339  z 0.01360  lr 1.57e-03  |grad| 0.35  mem 67.3GB  tok/s 5,041
[15:56:12] step   490/2000  ce 4.9461  z 0.01350  lr 1.56e-03  |grad| 0.36  mem 67.3GB  tok/s 5,041
[15:58:22] step   500/2000  ce 4.9210  z 0.01360  lr 1.55e-03  |grad| 0.30  mem 67.3GB  tok/s 5,041
[15:58:33]   [eval @ 500] val PPL=155.40
[15:58:36]   [ckpt @ 500] -> checkpoint_zloss_seed2.pt
[16:00:46] step   510/2000  ce 5.0437  z 0.01335  lr 1.55e-03  |grad| 0.32  mem 67.3GB  tok/s 5,030
[16:02:56] step   520/2000  ce 5.0711  z 0.01357  lr 1.54e-03  |grad| 0.39  mem 67.3GB  tok/s 5,031
[16:05:06] step   530/2000  ce 4.9269  z 0.01374  lr 1.53e-03  |grad| 0.35  mem 67.3GB  tok/s 5,031
[16:07:16] step   540/2000  ce 4.9225  z 0.01360  lr 1.53e-03  |grad| 0.32  mem 67.3GB  tok/s 5,031
[16:09:25] step   550/2000  ce 5.0148  z 0.01365  lr 1.52e-03  |grad| 0.32  mem 67.3GB  tok/s 5,032
[16:11:35] step   560/2000  ce 4.9831  z 0.01354  lr 1.51e-03  |grad| 0.33  mem 67.3GB  tok/s 5,032
[16:13:45] step   570/2000  ce 4.9850  z 0.01389  lr 1.50e-03  |grad| 0.28  mem 67.3GB  tok/s 5,032
[16:15:55] step   580/2000  ce 4.8315  z 0.01385  lr 1.49e-03  |grad| 0.28  mem 67.3GB  tok/s 5,033
[16:18:05] step   590/2000  ce 4.5571  z 0.01408  lr 1.49e-03  |grad| 0.28  mem 67.3GB  tok/s 5,033
[16:20:15] step   600/2000  ce 4.7951  z 0.01364  lr 1.48e-03  |grad| 0.31  mem 67.3GB  tok/s 5,033
[16:22:24] step   610/2000  ce 4.8480  z 0.01365  lr 1.47e-03  |grad| 0.32  mem 67.3GB  tok/s 5,033
[16:24:34] step   620/2000  ce 4.6588  z 0.01396  lr 1.46e-03  |grad| 0.32  mem 67.3GB  tok/s 5,033
[16:26:44] step   630/2000  ce 4.7890  z 0.01389  lr 1.45e-03  |grad| 0.28  mem 67.3GB  tok/s 5,034
[16:28:54] step   640/2000  ce 4.7858  z 0.01365  lr 1.44e-03  |grad| 0.28  mem 67.3GB  tok/s 5,034
[16:31:04] step   650/2000  ce 4.7354  z 0.01403  lr 1.43e-03  |grad| 0.41  mem 67.3GB  tok/s 5,034
[16:33:14] step   660/2000  ce 4.8448  z 0.01403  lr 1.42e-03  |grad| 0.31  mem 67.3GB  tok/s 5,034
[16:35:23] step   670/2000  ce 4.9393  z 0.01391  lr 1.42e-03  |grad| 0.29  mem 67.3GB  tok/s 5,035
[16:37:33] step   680/2000  ce 4.8877  z 0.01405  lr 1.41e-03  |grad| 0.36  mem 67.3GB  tok/s 5,035
[16:39:43] step   690/2000  ce 4.7170  z 0.01386  lr 1.40e-03  |grad| 0.33  mem 67.3GB  tok/s 5,035
[16:41:53] step   700/2000  ce 4.8618  z 0.01363  lr 1.39e-03  |grad| 0.27  mem 67.3GB  tok/s 5,035
[16:44:03] step   710/2000  ce 4.6513  z 0.01415  lr 1.38e-03  |grad| 0.24  mem 67.3GB  tok/s 5,035
[16:46:13] step   720/2000  ce 4.5365  z 0.01428  lr 1.37e-03  |grad| 0.26  mem 67.3GB  tok/s 5,035
[16:48:23] step   730/2000  ce 4.5402  z 0.01418  lr 1.36e-03  |grad| 0.29  mem 67.3GB  tok/s 5,036
[16:50:32] step   740/2000  ce 4.5067  z 0.01420  lr 1.35e-03  |grad| 0.26  mem 67.3GB  tok/s 5,036
[16:52:42] step   750/2000  ce 4.7117  z 0.01398  lr 1.34e-03  |grad| 0.24  mem 67.3GB  tok/s 5,036
[16:52:46]   [ckpt @ 750] -> checkpoint_zloss_seed2.pt
[16:54:56] step   760/2000  ce 4.6137  z 0.01429  lr 1.33e-03  |grad| 0.28  mem 67.3GB  tok/s 5,034
[16:57:05] step   770/2000  ce 4.3923  z 0.01445  lr 1.32e-03  |grad| 0.29  mem 67.3GB  tok/s 5,034
[16:59:15] step   780/2000  ce 4.6447  z 0.01402  lr 1.31e-03  |grad| 0.26  mem 67.3GB  tok/s 5,035
[17:01:25] step   790/2000  ce 4.3737  z 0.01439  lr 1.30e-03  |grad| 0.32  mem 67.3GB  tok/s 5,035
[17:03:35] step   800/2000  ce 4.3840  z 0.01425  lr 1.29e-03  |grad| 0.25  mem 67.3GB  tok/s 5,035
[17:05:45] step   810/2000  ce 4.5129  z 0.01417  lr 1.28e-03  |grad| 0.24  mem 67.3GB  tok/s 5,035
[17:07:55] step   820/2000  ce 4.4006  z 0.01431  lr 1.27e-03  |grad| 0.26  mem 67.3GB  tok/s 5,035
[17:10:05] step   830/2000  ce 4.5886  z 0.01425  lr 1.26e-03  |grad| 0.26  mem 67.3GB  tok/s 5,035
[17:12:14] step   840/2000  ce 4.1561  z 0.01461  lr 1.24e-03  |grad| 0.21  mem 67.3GB  tok/s 5,035
[17:14:24] step   850/2000  ce 4.6717  z 0.01399  lr 1.23e-03  |grad| 0.22  mem 67.3GB  tok/s 5,036
[17:16:34] step   860/2000  ce 4.4508  z 0.01446  lr 1.22e-03  |grad| 0.23  mem 67.3GB  tok/s 5,036
[17:18:44] step   870/2000  ce 4.6606  z 0.01409  lr 1.21e-03  |grad| 0.22  mem 67.3GB  tok/s 5,036
[17:20:54] step   880/2000  ce 4.5365  z 0.01393  lr 1.20e-03  |grad| 0.22  mem 67.3GB  tok/s 5,036
[17:23:04] step   890/2000  ce 4.3426  z 0.01428  lr 1.19e-03  |grad| 0.25  mem 67.3GB  tok/s 5,036
[17:25:13] step   900/2000  ce 4.5706  z 0.01403  lr 1.18e-03  |grad| 0.25  mem 67.3GB  tok/s 5,036
[17:27:24] step   910/2000  ce 4.2121  z 0.01483  lr 1.17e-03  |grad| 0.24  mem 67.3GB  tok/s 5,036
[17:29:33] step   920/2000  ce 4.2645  z 0.01417  lr 1.16e-03  |grad| 0.22  mem 67.3GB  tok/s 5,036
[17:31:43] step   930/2000  ce 4.2852  z 0.01428  lr 1.15e-03  |grad| 0.24  mem 67.3GB  tok/s 5,036
[17:33:53] step   940/2000  ce 4.0006  z 0.01477  lr 1.13e-03  |grad| 0.24  mem 67.3GB  tok/s 5,037
[17:36:03] step   950/2000  ce 4.4091  z 0.01420  lr 1.12e-03  |grad| 0.21  mem 67.3GB  tok/s 5,037
[17:38:13] step   960/2000  ce 4.3781  z 0.01399  lr 1.11e-03  |grad| 0.21  mem 67.3GB  tok/s 5,037
[17:40:23] step   970/2000  ce 4.3648  z 0.01415  lr 1.10e-03  |grad| 0.25  mem 67.3GB  tok/s 5,037
[17:42:32] step   980/2000  ce 4.1670  z 0.01443  lr 1.09e-03  |grad| 0.24  mem 67.3GB  tok/s 5,037
[17:44:42] step   990/2000  ce 4.1109  z 0.01437  lr 1.08e-03  |grad| 0.25  mem 67.3GB  tok/s 5,037
[17:46:52] step  1000/2000  ce 4.2126  z 0.01434  lr 1.07e-03  |grad| 0.19  mem 67.3GB  tok/s 5,037
[17:47:01]   [eval @ 1000] val PPL=71.71
[17:47:04]   [ckpt @ 1000] -> checkpoint_zloss_seed2.pt
[17:49:14] step  1010/2000  ce 4.1307  z 0.01430  lr 1.06e-03  |grad| 0.24  mem 67.3GB  tok/s 5,033
