step,loss,lr
0,11.254480361938477,0.0002
1,11.360588073730469,0.0004
2,11.077774047851562,0.0006000000000000001
3,10.389571189880371,0.0008
4,9.757173538208008,0.001
5,9.481921195983887,0.0012000000000000001
6,8.992937088012695,0.0014
7,8.795270919799805,0.0016
8,8.22147274017334,0.0018
9,8.093372344970703,0.002
10,8.06666088104248,0.0021999999999999997
11,8.206525802612305,0.0024000000000000002
12,8.277120590209961,0.0026000000000000003
13,7.629827499389648,0.0028
14,7.989055633544922,0.003
15,8.217958450317383,0.003
16,7.887182712554932,0.003
17,7.970552921295166,0.003
18,8.137235641479492,0.003
19,7.812108993530273,0.003
20,7.767773151397705,0.003
21,7.609410762786865,0.003
22,7.071795463562012,0.003
23,7.433906555175781,0.003
24,7.5880208015441895,0.003
25,8.43358039855957,0.003
26,7.5577521324157715,0.003
27,8.4842529296875,0.003
28,7.516142845153809,0.003
29,7.690733909606934,0.003
30,7.900952339172363,0.003
31,7.999964237213135,0.003
32,8.368858337402344,0.003
33,7.840690612792969,0.003
34,7.440896034240723,0.003
35,7.964818954467773,0.003
36,7.503983497619629,0.003
37,7.111047744750977,0.003
38,7.319501876831055,0.003
39,8.03360652923584,0.003
40,7.362067699432373,0.003
41,7.356149196624756,0.003
42,7.696071624755859,0.003
43,7.139110565185547,0.003
44,7.588634490966797,0.003
45,7.334333419799805,0.003
46,7.478575706481934,0.003
47,7.72310733795166,0.003
48,7.295689105987549,0.003
49,7.5745649337768555,0.003
50,8.010232925415039,0.003
51,7.258078575134277,0.003
52,7.612898826599121,0.003
53,7.4173078536987305,0.003
54,6.924790859222412,0.003
55,7.409358024597168,0.003
56,7.194821357727051,0.003
57,6.639549732208252,0.003
58,6.948966026306152,0.003
59,6.951389312744141,0.003
60,7.391179084777832,0.003
61,7.035463333129883,0.003
62,7.146123886108398,0.003
63,6.998073577880859,0.003
64,7.162121772766113,0.003
65,6.887739181518555,0.003
66,6.6378679275512695,0.003
67,6.896361351013184,0.003
68,6.716493606567383,0.003
69,6.869543552398682,0.003
70,6.933121204376221,0.003
71,7.225743293762207,0.003
72,7.054899215698242,0.003
73,6.7530717849731445,0.003
74,7.340345859527588,0.003
75,7.012164115905762,0.003
76,6.663811683654785,0.003
77,6.819550514221191,0.003
78,6.547154426574707,0.003
79,6.5804123878479,0.003
80,7.307812690734863,0.003
81,6.948494911193848,0.003
82,7.176964282989502,0.003
83,7.161368370056152,0.003
84,6.785443305969238,0.003
85,6.871044158935547,0.003
86,6.354152679443359,0.003
87,6.907957553863525,0.003
88,6.586159706115723,0.003
89,6.526443004608154,0.003
90,6.928847312927246,0.003
91,6.656933307647705,0.003
92,6.895683288574219,0.003
93,6.758997917175293,0.003
94,6.8058905601501465,0.003
95,6.738402366638184,0.003
96,6.959954261779785,0.003
97,7.206755638122559,0.003
98,6.883021831512451,0.003
99,6.749802589416504,0.003
100,6.642820358276367,0.003
101,6.536199569702148,0.003
102,6.913227081298828,0.003
103,6.691612243652344,0.003
104,7.171172142028809,0.003
105,7.111441612243652,0.003
106,6.56376838684082,0.003
107,6.924923896789551,0.003
108,6.775660037994385,0.003
109,6.709444046020508,0.003
110,6.553501129150391,0.003
111,6.9253058433532715,0.003
112,6.56441593170166,0.003
113,6.907925128936768,0.003
114,6.742958068847656,0.003
115,6.735434532165527,0.003
116,6.696667671203613,0.003
117,6.535019397735596,0.003
118,6.811535835266113,0.003
119,6.956934928894043,0.003
120,6.667280197143555,0.0029000000000000002
121,6.822507858276367,0.0028
122,6.929103851318359,0.0027
123,6.554083824157715,0.0026000000000000003
124,6.752876281738281,0.0025
125,6.636646270751953,0.0024000000000000002
126,7.243619918823242,0.0023
127,6.803143501281738,0.0022
128,6.783595085144043,0.0021
129,6.268942832946777,0.0020000000000000005
130,6.834403991699219,0.0019
131,7.223097801208496,0.0018
132,6.058053493499756,0.0017
133,6.4510178565979,0.0016
134,6.28033447265625,0.0015
135,6.644357204437256,0.0014
136,6.072585582733154,0.0013000000000000002
137,6.583145618438721,0.0012000000000000001
138,6.431656837463379,0.0011
139,6.743417263031006,0.0010000000000000002
140,6.038982391357422,0.0009000000000000002
141,6.834750175476074,0.0008000000000000001
142,6.2188568115234375,0.0006999999999999999
143,6.483697891235352,0.0005999999999999998
144,6.575563907623291,0.0004999999999999999
145,6.817206382751465,0.0003999999999999999
146,6.452666759490967,0.0002999999999999999
147,6.280091285705566,0.00019999999999999996
148,6.240176200866699,9.999999999999998e-05
149,6.288341522216797,0.0
