step,loss,lr,tok_seen
1,1.9550740718841553,1.4999999999999998e-06,4096
2,1.982081413269043,2.9999999999999997e-06,8192
3,2.010993480682373,4.499999999999999e-06,12288
4,1.8966410160064697,5.999999999999999e-06,16384
5,2.0018534660339355,7.499999999999999e-06,20480
6,1.7997736930847168,8.999999999999999e-06,24576
7,1.9568946361541748,1.05e-05,28672
8,1.8429174423217773,1.1999999999999999e-05,32768
9,1.8667508363723755,1.3499999999999998e-05,36864
10,2.0543742179870605,1.4999999999999999e-05,40960
11,2.0788629055023193,1.6499999999999998e-05,45056
12,2.0377893447875977,1.7999999999999997e-05,49152
13,2.043674945831299,1.95e-05,53248
14,1.8806700706481934,2.1e-05,57344
15,1.9118573665618896,2.2499999999999998e-05,61440
16,1.9368295669555664,2.3999999999999997e-05,65536
17,2.143603801727295,2.55e-05,69632
18,1.8939039707183838,2.6999999999999996e-05,73728
19,1.9528350830078125,2.8499999999999998e-05,77824
20,1.8479974269866943,2.9999999999999997e-05,81920
21,2.0059173107147217,3.149999999999999e-05,86016
22,1.8242404460906982,3.2999999999999996e-05,90112
23,1.9047157764434814,3.45e-05,94208
24,2.033602476119995,3.5999999999999994e-05,98304
25,1.8327021598815918,3.75e-05,102400
26,1.8336966037750244,3.9e-05,106496
27,1.9256093502044678,4.05e-05,110592
28,1.7609286308288574,4.2e-05,114688
29,2.057921886444092,4.3499999999999993e-05,118784
30,1.9465926885604858,4.4999999999999996e-05,122880
31,1.932702898979187,4.65e-05,126976
32,1.8421906232833862,4.7999999999999994e-05,131072
33,1.924793004989624,4.95e-05,135168
34,1.7996952533721924,5.1e-05,139264
35,1.9848997592926025,5.2499999999999995e-05,143360
36,1.9565649032592773,5.399999999999999e-05,147456
37,1.9254858493804932,5.5499999999999994e-05,151552
38,1.7396070957183838,5.6999999999999996e-05,155648
39,1.8655848503112793,5.85e-05,159744
40,1.9716888666152954,5.9999999999999995e-05,163840
41,1.901689052581787,6.149999999999999e-05,167936
42,1.7598549127578735,6.299999999999999e-05,172032
43,1.884044885635376,6.45e-05,176128
44,1.8846217393875122,6.599999999999999e-05,180224
45,1.7182605266571045,6.75e-05,184320
46,1.787422776222229,6.9e-05,188416
47,1.8476197719573975,7.049999999999999e-05,192512
48,1.884938359260559,7.199999999999999e-05,196608
49,1.7269130945205688,7.35e-05,200704
50,1.7650139331817627,7.5e-05,204800
51,1.8160793781280518,7.649999999999999e-05,208896
52,1.6686394214630127,7.8e-05,212992
53,1.903733253479004,7.95e-05,217088
54,1.9277589321136475,8.1e-05,221184
55,1.7987663745880127,8.25e-05,225280
56,1.8290417194366455,8.4e-05,229376
57,1.7681914567947388,8.549999999999999e-05,233472
58,1.8287320137023926,8.699999999999999e-05,237568
59,1.9848008155822754,8.849999999999998e-05,241664
60,1.7221319675445557,8.999999999999999e-05,245760
61,1.8525739908218384,9.149999999999999e-05,249856
62,1.8441317081451416,9.3e-05,253952
63,1.815631628036499,9.449999999999999e-05,258048
64,2.0442452430725098,9.599999999999999e-05,262144
65,1.691640853881836,9.75e-05,266240
66,1.6670689582824707,9.9e-05,270336
67,1.7283709049224854,0.0001005,274432
68,1.942678689956665,0.000102,278528
69,1.7332652807235718,0.00010349999999999998,282624
70,1.7124431133270264,0.00010499999999999999,286720
71,1.7710275650024414,0.00010649999999999999,290816
72,1.7811071872711182,0.00010799999999999998,294912
73,1.8495655059814453,0.00010949999999999999,299008
74,1.589646339416504,0.00011099999999999999,303104
75,1.6674519777297974,0.0001125,307200
76,1.8509408235549927,0.00011399999999999999,311296
77,1.691832184791565,0.00011549999999999999,315392
78,1.799626350402832,0.000117,319488
79,1.765235424041748,0.0001185,323584
80,1.7895030975341797,0.00011999999999999999,327680
81,1.7000861167907715,0.0001215,331776
82,1.865517497062683,0.00012299999999999998,335872
83,1.695312261581421,0.0001245,339968
84,1.756994366645813,0.00012599999999999997,344064
85,1.805752158164978,0.00012749999999999998,348160
86,1.723391056060791,0.000129,352256
87,1.7446272373199463,0.0001305,356352
88,1.8482633829116821,0.00013199999999999998,360448
89,1.7116565704345703,0.0001335,364544
90,1.6707582473754883,0.000135,368640
91,1.7702767848968506,0.00013649999999999998,372736
92,1.638986349105835,0.000138,376832
93,1.76411771774292,0.0001395,380928
94,1.560848593711853,0.00014099999999999998,385024
95,1.6991815567016602,0.0001425,389120
96,1.6379046440124512,0.00014399999999999998,393216
97,1.6674861907958984,0.00014549999999999999,397312
98,1.8180686235427856,0.000147,401408
99,1.5936757326126099,0.00014849999999999998,405504
100,1.6496175527572632,0.00015,409600
101,1.8678300380706787,0.0001515,413696
102,1.5666766166687012,0.00015299999999999998,417792
103,1.8322163820266724,0.0001545,421888
104,1.6242711544036865,0.000156,425984
105,1.4658386707305908,0.00015749999999999998,430080
106,1.716611385345459,0.000159,434176
107,1.6852502822875977,0.0001605,438272
108,1.561682939529419,0.000162,442368
109,1.6876606941223145,0.0001635,446464
110,1.8656731843948364,0.000165,450560
111,1.6688663959503174,0.0001665,454656
112,1.5748178958892822,0.000168,458752
113,1.955298662185669,0.00016949999999999997,462848
114,1.6472673416137695,0.00017099999999999998,466944
115,1.7686842679977417,0.00017249999999999996,471040
116,1.833500862121582,0.00017399999999999997,475136
117,1.6433902978897095,0.00017549999999999998,479232
118,1.549215316772461,0.00017699999999999997,483328
119,1.5768990516662598,0.00017849999999999997,487424
120,1.732299566268921,0.00017999999999999998,491520
121,1.6159693002700806,0.00018149999999999997,495616
122,1.6635234355926514,0.00018299999999999998,499712
123,1.6337437629699707,0.00018449999999999999,503808
124,1.7486793994903564,0.000186,507904
125,1.6421215534210205,0.00018749999999999998,512000
126,1.516312837600708,0.00018899999999999999,516096
127,1.7302274703979492,0.0001905,520192
128,1.8344361782073975,0.00019199999999999998,524288
129,1.6722662448883057,0.0001935,528384
130,1.6009297370910645,0.000195,532480
131,1.7721314430236816,0.00019649999999999998,536576
132,1.5412472486495972,0.000198,540672
133,1.7512731552124023,0.0001995,544768
134,1.6885333061218262,0.000201,548864
135,1.8356680870056152,0.0002025,552960
136,1.7968273162841797,0.000204,557056
